"X","Cancer_type","Pathway","Gene"
1130,"DLBC","Nucleotide Excision Repair",""
1131,"DLBC","Nucleotide Excision Repair","ERCC2"
1132,"DLBC","Nucleotide Excision Repair",""
1133,"DLBC","Nucleotide Excision Repair",""
1134,"DLBC","Nucleotide Excision Repair","POLR1A"
1135,"DLBC","Nucleotide Excision Repair",""
1136,"DLBC","Nucleotide Excision Repair","ERCC4"
1137,"DLBC","Nucleotide Excision Repair","PAPD7"
1138,"DLBC","Nucleotide Excision Repair","POLE"
1139,"DLBC","Nucleotide Excision Repair","LIG1"
1140,"DLBC","Inositol Metabolism","ISYNA1"
1141,"DLBC","Inositol Metabolism","IPMK"
1142,"DLBC","Inositol Metabolism","ITPK1"
1143,"DLBC","Inositol Metabolism","IPPK"
1144,"DLBC","Inositol Metabolism","MINPP1"
1145,"DLBC","Inositol Metabolism","ITPKA"
1146,"DLBC","Inositol Metabolism","INPP5J"
1147,"DLBC","Inositol Metabolism","INPP1"
1148,"DLBC","Inositol Metabolism","IMPA1"
1149,"DLBC","Inositol Metabolism","MIOX"
1150,"DLBC","Inositol Metabolism","INPP4A"
1151,"DLBC","Inositol Metabolism","PLCD3"
1152,"DLBC","Inositol Metabolism","PIKFYVE"
1153,"DLBC","Inositol Metabolism","FIG4"
1154,"DLBC","Inositol Metabolism","VAC14"
1155,"DLBC","Inositol Metabolism","PI4KA"
1156,"DLBC","Inositol Metabolism","PIK3C3"
1157,"DLBC","Inositol Metabolism","PIK3R4"
1158,"DLBC","Inositol Metabolism",""
1159,"DLBC","Inositol Metabolism","AMBRA1"
1160,"DLBC","Inositol Metabolism","PIK3CA"
1161,"DLBC","Inositol Metabolism","PTPMT1"
1162,"DLBC","Phosphatidylinositol Phosphate Metabolism","CDIPT"
1163,"DLBC","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
1164,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
1165,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
1166,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
1167,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
1168,"DLBC","Phosphatidylinositol Phosphate Metabolism",""
1169,"DLBC","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
1170,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
1171,"DLBC","Phosphatidylinositol Phosphate Metabolism","FIG4"
1172,"DLBC","Phosphatidylinositol Phosphate Metabolism","VAC14"
1173,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
1174,"DLBC","Phosphatidylinositol Phosphate Metabolism","INPP4B"
1175,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
1176,"DLBC","Phosphatidylinositol Phosphate Metabolism","INPP5D"
1177,"DLBC","Phosphatidylinositol Phosphate Metabolism","INPP5E"
1178,"DLBC","Phosphatidylinositol Phosphate Metabolism","PI4KA"
1179,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
1180,"DLBC","Phosphatidylinositol Phosphate Metabolism","ERBB2"
1181,"DLBC","Phosphatidylinositol Phosphate Metabolism",""
1182,"DLBC","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
1183,"DLBC","Phosphatidylinositol Phosphate Metabolism","PTEN"
1184,"DLBC","Phosphatidylinositol Phosphate Metabolism","PLCB1"
1185,"DLBC","Mitochondrial Electron Transport Chain","SLC37A4"
1186,"DLBC","Mitochondrial Electron Transport Chain","SLC25A4"
1187,"DLBC","Mitochondrial Electron Transport Chain","ATP5G2"
1188,"DLBC","Mitochondrial Electron Transport Chain","ATP5A1"
1189,"DLBC","Mitochondrial Electron Transport Chain","ATP5E"
1190,"DLBC","Mitochondrial Electron Transport Chain","ATP5B"
1191,"DLBC","Mitochondrial Electron Transport Chain","ATP5F1"
1192,"DLBC","Mitochondrial Electron Transport Chain","ATP5D"
1193,"DLBC","Mitochondrial Electron Transport Chain","ATP5C1"
1194,"DLBC","Mitochondrial Electron Transport Chain","MT-ATP6"
1195,"DLBC","Mitochondrial Electron Transport Chain","GPD2"
1196,"DLBC","Mitochondrial Electron Transport Chain","NDUFA1"
1197,"DLBC","Mitochondrial Electron Transport Chain","SDHA"
1198,"DLBC","Mitochondrial Electron Transport Chain","SDHB"
1199,"DLBC","Mitochondrial Electron Transport Chain","SDHC"
1200,"DLBC","Mitochondrial Electron Transport Chain","SDHD"
1201,"DLBC","Mitochondrial Electron Transport Chain","CYCS"
1202,"DLBC","Mitochondrial Electron Transport Chain","UQCRC1"
1203,"DLBC","Mitochondrial Electron Transport Chain","MT-CO1"
1204,"DLBC","Mitochondrial Electron Transport Chain","GPD1"
1205,"DLBC","Mitochondrial Electron Transport Chain","GAPDH"
1206,"EPM","Inositol Metabolism","ISYNA1"
1207,"EPM","Inositol Metabolism","IPMK"
1208,"EPM","Inositol Metabolism","ITPK1"
1209,"EPM","Inositol Metabolism","IPPK"
1210,"EPM","Inositol Metabolism","MINPP1"
1211,"EPM","Inositol Metabolism","ITPKA"
1212,"EPM","Inositol Metabolism","INPP5J"
1213,"EPM","Inositol Metabolism","INPP1"
1214,"EPM","Inositol Metabolism","IMPA1"
1215,"EPM","Inositol Metabolism","MIOX"
1216,"EPM","Inositol Metabolism","INPP4A"
1217,"EPM","Inositol Metabolism","PLCD3"
1218,"EPM","Inositol Metabolism","PIKFYVE"
1219,"EPM","Inositol Metabolism","FIG4"
1220,"EPM","Inositol Metabolism","VAC14"
1221,"EPM","Inositol Metabolism","PI4KA"
1222,"EPM","Inositol Metabolism","PIK3C3"
1223,"EPM","Inositol Metabolism","PIK3R4"
1224,"EPM","Inositol Metabolism",""
1225,"EPM","Inositol Metabolism","AMBRA1"
1226,"EPM","Inositol Metabolism","PIK3CA"
1227,"EPM","Inositol Metabolism","PTPMT1"
1228,"ESCA","Ethanol Degradation","ADH1B"
1229,"ESCA","Ethanol Degradation","ALDH2"
1230,"ESCA","Ethanol Degradation","CYP2E1"
1231,"ESCA","Ethanol Degradation","CAT"
1232,"ESCA","Ethanol Degradation","ACSS2"
1233,"ESCA","Ethanol Degradation","ACSS1"
1234,"ESCA","Ethanol Degradation","ALDH1B1"
1235,"ESCA","Trehalose Degradation","TREH"
1236,"ESCA","Trehalose Degradation","SLC5A1"
1237,"ESCA","Trehalose Degradation","SLC2A2"
1238,"ESCA","Trehalose Degradation","GCK"
1239,"ESCA","Trehalose Degradation","ATP1A1"
1240,"ESCA","Trehalose Degradation","ATP1A2"
1241,"ESCA","Trehalose Degradation","ATP1A3"
1242,"ESCA","Trehalose Degradation","ATP1A4"
1243,"ESCA","Trehalose Degradation","ATP1B1"
1244,"ESCA","Trehalose Degradation","ATP1B2"
1245,"ESCA","Trehalose Degradation","ATP1B3"
1246,"ESCA","Trehalose Degradation",""
1247,"ESCA","Trehalose Degradation","FXYD2"
1248,"ESCA","Sulfate_Sulfite Metabolism","SUOX"
1249,"ESCA","Sulfate_Sulfite Metabolism","PAPSS2"
1250,"ESCA","Sulfate_Sulfite Metabolism","BPNT1"
1251,"ESCA","Sulfate_Sulfite Metabolism","SULT1E1"
1252,"ESCA","Sulfate_Sulfite Metabolism","SULT1A1"
1253,"ESCA","Sulfate_Sulfite Metabolism","SULT2B1"
1254,"ESCA","Sulfate_Sulfite Metabolism","CHST11"
1255,"ESCA","Phosphatidylinositol Phosphate Metabolism","CDIPT"
1256,"ESCA","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
1257,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
1258,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
1259,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
1260,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
1261,"ESCA","Phosphatidylinositol Phosphate Metabolism",""
1262,"ESCA","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
1263,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
1264,"ESCA","Phosphatidylinositol Phosphate Metabolism","FIG4"
1265,"ESCA","Phosphatidylinositol Phosphate Metabolism","VAC14"
1266,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
1267,"ESCA","Phosphatidylinositol Phosphate Metabolism","INPP4B"
1268,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
1269,"ESCA","Phosphatidylinositol Phosphate Metabolism","INPP5D"
1270,"ESCA","Phosphatidylinositol Phosphate Metabolism","INPP5E"
1271,"ESCA","Phosphatidylinositol Phosphate Metabolism","PI4KA"
1272,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
1273,"ESCA","Phosphatidylinositol Phosphate Metabolism","ERBB2"
1274,"ESCA","Phosphatidylinositol Phosphate Metabolism",""
1275,"ESCA","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
1276,"ESCA","Phosphatidylinositol Phosphate Metabolism","PTEN"
1277,"ESCA","Phosphatidylinositol Phosphate Metabolism","PLCB1"
1278,"ESCA","Glutamate Metabolism","PIG59"
1279,"ESCA","Glutamate Metabolism","GLS2"
1280,"ESCA","Glutamate Metabolism","GFPT1"
1281,"ESCA","Glutamate Metabolism","GNPNAT1"
1282,"ESCA","Glutamate Metabolism","NAGK"
1283,"ESCA","Glutamate Metabolism","CAD"
1284,"ESCA","Glutamate Metabolism","CPS1"
1285,"ESCA","Glutamate Metabolism","PPAT"
1286,"ESCA","Glutamate Metabolism","GMPS"
1287,"ESCA","Glutamate Metabolism","NADSYN1"
1288,"ESCA","Glutamate Metabolism","ALDH4A1"
1289,"ESCA","Glutamate Metabolism","GPT"
1290,"ESCA","Glutamate Metabolism","GLUD1"
1291,"ESCA","Glutamate Metabolism","GOT2"
1292,"ESCA","Glutamate Metabolism","EARS2"
1293,"ESCA","Glutamate Metabolism","GCLC"
1294,"ESCA","Glutamate Metabolism","GCLM"
1295,"ESCA","Glutamate Metabolism","GSS"
1296,"ESCA","Glutamate Metabolism","GSR"
1297,"ESCA","Glutamate Metabolism","GAD1"
1298,"ESCA","Glutamate Metabolism","ABAT"
1299,"ESCA","Glutamate Metabolism","ALDH5A1"
1300,"ESCA","Glutamate Metabolism","QARS"
1301,"ESCA","Inositol Metabolism","ISYNA1"
1302,"ESCA","Inositol Metabolism","IPMK"
1303,"ESCA","Inositol Metabolism","ITPK1"
1304,"ESCA","Inositol Metabolism","IPPK"
1305,"ESCA","Inositol Metabolism","MINPP1"
1306,"ESCA","Inositol Metabolism","ITPKA"
1307,"ESCA","Inositol Metabolism","INPP5J"
1308,"ESCA","Inositol Metabolism","INPP1"
1309,"ESCA","Inositol Metabolism","IMPA1"
1310,"ESCA","Inositol Metabolism","MIOX"
1311,"ESCA","Inositol Metabolism","INPP4A"
1312,"ESCA","Inositol Metabolism","PLCD3"
1313,"ESCA","Inositol Metabolism","PIKFYVE"
1314,"ESCA","Inositol Metabolism","FIG4"
1315,"ESCA","Inositol Metabolism","VAC14"
1316,"ESCA","Inositol Metabolism","PI4KA"
1317,"ESCA","Inositol Metabolism","PIK3C3"
1318,"ESCA","Inositol Metabolism","PIK3R4"
1319,"ESCA","Inositol Metabolism",""
1320,"ESCA","Inositol Metabolism","AMBRA1"
1321,"ESCA","Inositol Metabolism","PIK3CA"
1322,"ESCA","Inositol Metabolism","PTPMT1"
1323,"ESCA","Nucleotide Excision Repair",""
1324,"ESCA","Nucleotide Excision Repair",""
1325,"ESCA","Nucleotide Excision Repair","ERCC2"
1326,"ESCA","Nucleotide Excision Repair",""
1327,"ESCA","Nucleotide Excision Repair",""
1328,"ESCA","Nucleotide Excision Repair","POLR1A"
1329,"ESCA","Nucleotide Excision Repair",""
1330,"ESCA","Nucleotide Excision Repair","ERCC4"
1331,"ESCA","Nucleotide Excision Repair","PAPD7"
1332,"ESCA","Nucleotide Excision Repair","POLE"
1333,"ESCA","Nucleotide Excision Repair","LIG1"
1334,"ESCA","Mitochondrial Electron Transport Chain","SLC37A4"
1335,"ESCA","Mitochondrial Electron Transport Chain","SLC25A4"
1336,"ESCA","Mitochondrial Electron Transport Chain","ATP5G2"
1337,"ESCA","Mitochondrial Electron Transport Chain","ATP5A1"
1338,"ESCA","Mitochondrial Electron Transport Chain","ATP5E"
1339,"ESCA","Mitochondrial Electron Transport Chain","ATP5B"
1340,"ESCA","Mitochondrial Electron Transport Chain","ATP5F1"
1341,"ESCA","Mitochondrial Electron Transport Chain","ATP5D"
1342,"ESCA","Mitochondrial Electron Transport Chain","ATP5C1"
1343,"ESCA","Mitochondrial Electron Transport Chain","MT-ATP6"
1344,"ESCA","Mitochondrial Electron Transport Chain","GPD2"
1345,"ESCA","Mitochondrial Electron Transport Chain","NDUFA1"
1346,"ESCA","Mitochondrial Electron Transport Chain","SDHA"
1347,"ESCA","Mitochondrial Electron Transport Chain","SDHB"
1348,"ESCA","Mitochondrial Electron Transport Chain","SDHC"
1349,"ESCA","Mitochondrial Electron Transport Chain","SDHD"
1350,"ESCA","Mitochondrial Electron Transport Chain","CYCS"
1351,"ESCA","Mitochondrial Electron Transport Chain","UQCRC1"
1352,"ESCA","Mitochondrial Electron Transport Chain","MT-CO1"
1353,"ESCA","Mitochondrial Electron Transport Chain","GPD1"
1354,"ESCA","Mitochondrial Electron Transport Chain","GAPDH"
1355,"ESCA","Warburg Effect","SLC2A2"
1356,"ESCA","Warburg Effect","HK2"
1357,"ESCA","Warburg Effect","GPI"
1358,"ESCA","Warburg Effect","PFKL"
1359,"ESCA","Warburg Effect","ALDOB"
1360,"ESCA","Warburg Effect","GAPDH"
1361,"ESCA","Warburg Effect","PGK1"
1362,"ESCA","Warburg Effect","PGAM2"
1363,"ESCA","Warburg Effect","ENO1"
1364,"ESCA","Warburg Effect","PKLR"
1365,"ESCA","Warburg Effect","MPC1"
1366,"ESCA","Warburg Effect","PC"
1367,"ESCA","Warburg Effect","PDHA1"
1368,"ESCA","Warburg Effect","PDHB"
1369,"ESCA","Warburg Effect","DLAT"
1370,"ESCA","Warburg Effect","DLD"
1371,"ESCA","Warburg Effect","CS"
1372,"ESCA","Warburg Effect","LDHAL6A"
1373,"ESCA","Warburg Effect","SLC16A1"
1374,"ESCA","Warburg Effect","ACO2"
1375,"ESCA","Warburg Effect","IDH3A"
1376,"ESCA","Warburg Effect","IDH3B"
1377,"ESCA","Warburg Effect","IDH3G"
1378,"ESCA","Warburg Effect","OGDH"
1379,"ESCA","Warburg Effect","DLST"
1380,"ESCA","Warburg Effect","SUCLG1"
1381,"ESCA","Warburg Effect","SUCLG2"
1382,"ESCA","Warburg Effect","SDHA"
1383,"ESCA","Warburg Effect","SDHB"
1384,"ESCA","Warburg Effect","SDHC"
1385,"ESCA","Warburg Effect","SDHD"
1386,"ESCA","Warburg Effect","FH"
1387,"ESCA","Warburg Effect","MDH1"
1388,"ESCA","Warburg Effect","GLUD1"
1389,"ESCA","Warburg Effect","GLS2"
1390,"ESCA","Warburg Effect","SLC1A5"
1391,"ESCA","Warburg Effect","TALDO1"
1392,"ESCA","Warburg Effect","TKT"
1393,"ESCA","Warburg Effect","RPIA"
1394,"ESCA","Warburg Effect","PGLS"
1395,"ESCA","Warburg Effect","G6PD"
1396,"ESCA","Warburg Effect","PGD"
1397,"ESCA","Warburg Effect",""
1398,"ESCA","Warburg Effect","ACO1"
1399,"ESCA","Warburg Effect","IDH1"
1400,"ESCA","Warburg Effect","PKM"
1401,"ESCA","Starch and Sucrose Metabolism","HK2"
1402,"ESCA","Starch and Sucrose Metabolism","GPI"
1403,"ESCA","Starch and Sucrose Metabolism","GCK"
1404,"ESCA","Starch and Sucrose Metabolism","SI"
1405,"ESCA","Starch and Sucrose Metabolism","PGM1"
1406,"ESCA","Starch and Sucrose Metabolism","PGM2L1"
1407,"ESCA","Starch and Sucrose Metabolism","UGP2"
1408,"ESCA","Starch and Sucrose Metabolism","GYS2"
1409,"ESCA","Starch and Sucrose Metabolism","GBE1"
1410,"ESCA","Starch and Sucrose Metabolism","MGAM"
1411,"ESCA","Starch and Sucrose Metabolism","AMY1A"
1412,"ESCA","Starch and Sucrose Metabolism","AGL"
1413,"ESCA","Starch and Sucrose Metabolism","UGDH"
1414,"ESCA","Starch and Sucrose Metabolism","PYGL"
1415,"ESCA","Starch and Sucrose Metabolism","UGT2B11"
1416,"ESCA","Starch and Sucrose Metabolism","GUSB"
1417,"GBM","Pyrimidine Metabolism","CAD"
1418,"GBM","Pyrimidine Metabolism","DHODH"
1419,"GBM","Pyrimidine Metabolism","UMPS "
1420,"GBM","Pyrimidine Metabolism","CANT1"
1421,"GBM","Pyrimidine Metabolism","CMPK2"
1422,"GBM","Pyrimidine Metabolism","NME6"
1423,"GBM","Pyrimidine Metabolism","AK3"
1424,"GBM","Pyrimidine Metabolism","ITPA"
1425,"GBM","Pyrimidine Metabolism","CTPS1"
1426,"GBM","Pyrimidine Metabolism","NT5C2"
1427,"GBM","Pyrimidine Metabolism","GDA"
1428,"GBM","Pyrimidine Metabolism","UPP2"
1429,"GBM","Pyrimidine Metabolism","DPYD"
1430,"GBM","Pyrimidine Metabolism","DPYS"
1431,"GBM","Pyrimidine Metabolism","UPB1"
1432,"GBM","Pyrimidine Metabolism","RRM2"
1433,"GBM","Pyrimidine Metabolism","RRM2B"
1434,"GBM","Pyrimidine Metabolism","UCKL1"
1435,"GBM","Pyrimidine Metabolism","CDA"
1436,"GBM","Pyrimidine Metabolism","TYMP"
1437,"GBM","Pyrimidine Metabolism","DCTD"
1438,"GBM","Pyrimidine Metabolism","TK1"
1439,"GBM","Pyrimidine Metabolism","TYMS"
1440,"GBM","Pyrimidine Metabolism","DUT"
1441,"GBM","Phosphatidylinositol Phosphate Metabolism","CDIPT"
1442,"GBM","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
1443,"GBM","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
1444,"GBM","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
1445,"GBM","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
1446,"GBM","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
1447,"GBM","Phosphatidylinositol Phosphate Metabolism",""
1448,"GBM","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
1449,"GBM","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
1450,"GBM","Phosphatidylinositol Phosphate Metabolism","FIG4"
1451,"GBM","Phosphatidylinositol Phosphate Metabolism","VAC14"
1452,"GBM","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
1453,"GBM","Phosphatidylinositol Phosphate Metabolism","INPP4B"
1454,"GBM","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
1455,"GBM","Phosphatidylinositol Phosphate Metabolism","INPP5D"
1456,"GBM","Phosphatidylinositol Phosphate Metabolism","INPP5E"
1457,"GBM","Phosphatidylinositol Phosphate Metabolism","PI4KA"
1458,"GBM","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
1459,"GBM","Phosphatidylinositol Phosphate Metabolism","ERBB2"
1460,"GBM","Phosphatidylinositol Phosphate Metabolism",""
1461,"GBM","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
1462,"GBM","Phosphatidylinositol Phosphate Metabolism","PTEN"
1463,"GBM","Phosphatidylinositol Phosphate Metabolism","PLCB1"
1464,"GBM","Nucleotide Excision Repair",""
1465,"GBM","Nucleotide Excision Repair",""
1466,"GBM","Nucleotide Excision Repair","ERCC2"
1467,"GBM","Nucleotide Excision Repair",""
1468,"GBM","Nucleotide Excision Repair",""
1469,"GBM","Nucleotide Excision Repair","POLR1A"
1470,"GBM","Nucleotide Excision Repair",""
1471,"GBM","Nucleotide Excision Repair","ERCC4"
1472,"GBM","Nucleotide Excision Repair","PAPD7"
1473,"GBM","Nucleotide Excision Repair","POLE"
1474,"GBM","Nucleotide Excision Repair","LIG1"
1475,"GBM","Warburg Effect","SLC2A2"
1476,"GBM","Warburg Effect","HK2"
1477,"GBM","Warburg Effect","GPI"
1478,"GBM","Warburg Effect","PFKL"
1479,"GBM","Warburg Effect","ALDOB"
1480,"GBM","Warburg Effect","GAPDH"
1481,"GBM","Warburg Effect","PGK1"
1482,"GBM","Warburg Effect","PGAM2"
1483,"GBM","Warburg Effect","ENO1"
1484,"GBM","Warburg Effect","PKLR"
1485,"GBM","Warburg Effect","MPC1"
1486,"GBM","Warburg Effect","PC"
1487,"GBM","Warburg Effect","PDHA1"
1488,"GBM","Warburg Effect","PDHB"
1489,"GBM","Warburg Effect","DLAT"
1490,"GBM","Warburg Effect","DLD"
1491,"GBM","Warburg Effect","CS"
1492,"GBM","Warburg Effect","LDHAL6A"
1493,"GBM","Warburg Effect","SLC16A1"
1494,"GBM","Warburg Effect","ACO2"
1495,"GBM","Warburg Effect","IDH3A"
1496,"GBM","Warburg Effect","IDH3B"
1497,"GBM","Warburg Effect","IDH3G"
1498,"GBM","Warburg Effect","OGDH"
1499,"GBM","Warburg Effect","DLST"
1500,"GBM","Warburg Effect","SUCLG1"
1501,"GBM","Warburg Effect","SUCLG2"
1502,"GBM","Warburg Effect","SDHA"
1503,"GBM","Warburg Effect","SDHB"
1504,"GBM","Warburg Effect","SDHC"
1505,"GBM","Warburg Effect","SDHD"
1506,"GBM","Warburg Effect","FH"
1507,"GBM","Warburg Effect","MDH1"
1508,"GBM","Warburg Effect","GLUD1"
1509,"GBM","Warburg Effect","GLS2"
1510,"GBM","Warburg Effect","SLC1A5"
1511,"GBM","Warburg Effect","TALDO1"
1512,"GBM","Warburg Effect","TKT"
1513,"GBM","Warburg Effect","RPIA"
1514,"GBM","Warburg Effect","PGLS"
1515,"GBM","Warburg Effect","G6PD"
1516,"GBM","Warburg Effect","PGD"
1517,"GBM","Warburg Effect",""
1518,"GBM","Warburg Effect","ACO1"
1519,"GBM","Warburg Effect","IDH1"
1520,"GBM","Warburg Effect","PKM"
1521,"GBM","Purine Metabolism","NUDT2"
1522,"GBM","Purine Metabolism","NME6"
1523,"GBM","Purine Metabolism","ENTPD5"
1524,"GBM","Purine Metabolism","ENTPD8"
1525,"GBM","Purine Metabolism","GUK1"
1526,"GBM","Purine Metabolism","NT5C2"
1527,"GBM","Purine Metabolism","DGUOK"
1528,"GBM","Purine Metabolism","APRT"
1529,"GBM","Purine Metabolism","PNP"
1530,"GBM","Purine Metabolism","HPRT1"
1531,"GBM","Purine Metabolism","GDA"
1532,"GBM","Purine Metabolism","NUDT5"
1533,"GBM","Purine Metabolism","PRPS1L1"
1534,"GBM","Purine Metabolism","PPAT"
1535,"GBM","Purine Metabolism","GART"
1536,"GBM","Purine Metabolism","PFAS"
1537,"GBM","Purine Metabolism","PAICS"
1538,"GBM","Purine Metabolism","ADSL"
1539,"GBM","Purine Metabolism","ATIC"
1540,"GBM","Purine Metabolism","ITPA"
1541,"GBM","Purine Metabolism","GMPS"
1542,"GBM","Purine Metabolism","IMPDH1"
1543,"GBM","Purine Metabolism","GMPR"
1544,"GBM","Purine Metabolism","XDH"
1545,"GBM","Purine Metabolism","ADSS"
1546,"GBM","Purine Metabolism","AMPD1"
1547,"GBM","Purine Metabolism","ADA"
1548,"GBM","Purine Metabolism","AK1"
1549,"GBM","Purine Metabolism","ATAD1"
1550,"GBM","Purine Metabolism","PDE4D"
1551,"GBM","Purine Metabolism","ADCY10"
1552,"GBM","Purine Metabolism","GUCY1A2"
1553,"GBM","Purine Metabolism","GUCY1B3"
1554,"GBM","Purine Metabolism","PDE10A"
1555,"GBM","Purine Metabolism","TXN"
1556,"GBM","Purine Metabolism","RRM1"
1557,"GBM","Purine Metabolism","RRM2"
1558,"GBM","Purine Metabolism","HPRT1"
1559,"GBM","Purine Metabolism","IMPDH1"
1560,"GBM","Purine Metabolism","GMPS"
1561,"GBM","Purine Metabolism","TPMT"
1562,"GBM","Purine Metabolism","RAC1"
1563,"GBM","Purine Metabolism","AOX1"
1564,"GBM","Purine Metabolism","PPAT"
1565,"GBM","Purine Metabolism","SLC29A2"
1566,"GBM","Purine Metabolism","SLC28A3"
1567,"GBM","Purine Metabolism","SLC29A1"
1568,"GBM","Purine Metabolism","SLC28A2"
1569,"GBM","Purine Metabolism","ABCC5"
1570,"GBM","Purine Metabolism","ABCC4"
1571,"GBM","Purine Metabolism","XDH"
1572,"GBM","Purine Metabolism","ADK"
1573,"GBM","Inositol Metabolism","ISYNA1"
1574,"GBM","Inositol Metabolism","IPMK"
1575,"GBM","Inositol Metabolism","ITPK1"
1576,"GBM","Inositol Metabolism","IPPK"
1577,"GBM","Inositol Metabolism","MINPP1"
1578,"GBM","Inositol Metabolism","ITPKA"
1579,"GBM","Inositol Metabolism","INPP5J"
1580,"GBM","Inositol Metabolism","INPP1"
1581,"GBM","Inositol Metabolism","IMPA1"
1582,"GBM","Inositol Metabolism","MIOX"
1583,"GBM","Inositol Metabolism","INPP4A"
1584,"GBM","Inositol Metabolism","PLCD3"
1585,"GBM","Inositol Metabolism","PIKFYVE"
1586,"GBM","Inositol Metabolism","FIG4"
1587,"GBM","Inositol Metabolism","VAC14"
1588,"GBM","Inositol Metabolism","PI4KA"
1589,"GBM","Inositol Metabolism","PIK3C3"
1590,"GBM","Inositol Metabolism","PIK3R4"
1591,"GBM","Inositol Metabolism",""
1592,"GBM","Inositol Metabolism","AMBRA1"
1593,"GBM","Inositol Metabolism","PIK3CA"
1594,"GBM","Inositol Metabolism","PTPMT1"
1595,"HNSC","Retinol Metabolism","ADH1A"
1596,"HNSC","Retinol Metabolism","RDH12"
1597,"HNSC","Retinol Metabolism","DHRS4"
1598,"HNSC","Retinol Metabolism","RDH16"
1599,"HNSC","Retinol Metabolism","RDH8"
1600,"HNSC","Retinol Metabolism","DHRS3"
1601,"HNSC","Retinol Metabolism","DHRS9"
1602,"HNSC","Retinol Metabolism","RDH11"
1603,"HNSC","Retinol Metabolism","LRAT"
1604,"HNSC","Retinol Metabolism","AWAT1"
1605,"HNSC","Retinol Metabolism","DGAT1"
1606,"HNSC","Retinol Metabolism","RPE65"
1607,"HNSC","Retinol Metabolism","PNPLA4"
1608,"HNSC","Retinol Metabolism","BCMO1"
1609,"HNSC","Retinol Metabolism","ALDH1A1"
1610,"HNSC","Retinol Metabolism","ALDH1A2"
1611,"HNSC","Retinol Metabolism","CYP26A1"
1612,"HNSC","Retinol Metabolism","RETSAT"
1613,"HNSC","Retinol Metabolism","DNAJB11"
1614,"HNSC","Retinol Metabolism","HSP90B1 "
1615,"HNSC","Retinol Metabolism","HSPA5"
1616,"HNSC","Retinol Metabolism","HYOU1 "
1617,"HNSC","Retinol Metabolism","PDIA2"
1618,"HNSC","Retinol Metabolism","PDIA4"
1619,"HNSC","Retinol Metabolism","PDIA6"
1620,"HNSC","Retinol Metabolism","PPIB"
1621,"HNSC","Retinol Metabolism","SDF2L1"
1622,"HNSC","Retinol Metabolism","UGT1A1"
1623,"HNSC","Retinol Metabolism","ERP29"
1624,"HNSC","Retinol Metabolism","CYP2A6"
1625,"HNSC","Retinol Metabolism","CYP2A7"
1626,"HNSC","Retinol Metabolism","CYP2A13"
1627,"HNSC","Retinol Metabolism","CYP2B6"
1628,"HNSC","Retinol Metabolism","CYP3A7"
1629,"HNSC","Retinol Metabolism","CYP3A4"
1630,"HNSC","Retinol Metabolism","CYP3A5"
1631,"HNSC","Retinol Metabolism","CYP3A43"
1632,"HNSC","Purine Metabolism","NUDT2"
1633,"HNSC","Purine Metabolism","NME6"
1634,"HNSC","Purine Metabolism","ENTPD5"
1635,"HNSC","Purine Metabolism","ENTPD8"
1636,"HNSC","Purine Metabolism","GUK1"
1637,"HNSC","Purine Metabolism","NT5C2"
1638,"HNSC","Purine Metabolism","DGUOK"
1639,"HNSC","Purine Metabolism","APRT"
