"driver_gene","Pathway","Cancer_type","new"
"KMT2D","Oxidativephosphorylation/hsa00190","ESCA","KMT2D ESCA"
"KMT2D","Oxidativephosphorylation/hsa00190","PRAD","KMT2D PRAD"
"KMT2D","Oxidativephosphorylation/hsa00190","WT","KMT2D WT"
"KMT2D","Oxidativephosphorylation/hsa00190","BLCA","KMT2D BLCA"
"KMT2D","Oxidativephosphorylation/hsa00190","CHOL","KMT2D CHOL"
"KMT2D","Oxidativephosphorylation/hsa00190","LIHC","KMT2D LIHC"
"KMT2D","Oxidativephosphorylation/hsa00190","READ","KMT2D READ"
"KMT2D","Oxidativephosphorylation/hsa00190","CGCI-BLGSP","KMT2D CGCI-BLGSP"
"KMT2D","Oxidativephosphorylation/hsa00190","UVM","KMT2D UVM"
"KMT2D","Oxidativephosphorylation/hsa00190","KICH","KMT2D KICH"
"KMT2D","Oxidativephosphorylation/hsa00190","COAD","KMT2D COAD"
"KMT2D","Oxidativephosphorylation/hsa00190","STAD","KMT2D STAD"
"LDHB","VarioustypesofN_glycanbiosynthesis/hsa00513","PRAD","LDHB PRAD"
"LDHB","VarioustypesofN_glycanbiosynthesis/hsa00513","STAD","LDHB STAD"
"MECOM","Etherlipidmetabolism/hsa00565","LIHC","MECOM LIHC"
"MECOM","Etherlipidmetabolism/hsa00565","HNSC","MECOM HNSC"
"MECOM","Etherlipidmetabolism/hsa00565","BLCA","MECOM BLCA"
"MECOM","Etherlipidmetabolism/hsa00565","SKCM","MECOM SKCM"
"MECOM","Etherlipidmetabolism/hsa00565","THYM","MECOM THYM"
"MECOM","Etherlipidmetabolism/hsa00565","GBM","MECOM GBM"
"MECOM","Etherlipidmetabolism/hsa00565","ESCA","MECOM ESCA"
"MECOM","Etherlipidmetabolism/hsa00565","BRCA","MECOM BRCA"
"MECOM","Etherlipidmetabolism/hsa00565","COAD","MECOM COAD"
"MECOM","Etherlipidmetabolism/hsa00565","MESO","MECOM MESO"
"MECOM","Etherlipidmetabolism/hsa00565","SARC","MECOM SARC"
"MECOM","Etherlipidmetabolism/hsa00565","KIRC","MECOM KIRC"
"MECOM","Etherlipidmetabolism/hsa00565","LGG","MECOM LGG"
"MECOM","Etherlipidmetabolism/hsa00565","KICH","MECOM KICH"
"MECOM","Etherlipidmetabolism/hsa00565","KIRP","MECOM KIRP"
"MECOM","Etherlipidmetabolism/hsa00565","PRAD","MECOM PRAD"
"MECOM","Etherlipidmetabolism/hsa00565","NBL","MECOM NBL"
"MECOM","Etherlipidmetabolism/hsa00565","CESC","MECOM CESC"
"MECOM","Etherlipidmetabolism/hsa00565","LUAD","MECOM LUAD"
"MECOM","Etherlipidmetabolism/hsa00565","STAD","MECOM STAD"
"MECOM","Etherlipidmetabolism/hsa00565","PAAD","MECOM PAAD"
"MECOM","Etherlipidmetabolism/hsa00565","LUSC","MECOM LUSC"
"MECOM","Etherlipidmetabolism/hsa00565","READ","MECOM READ"
"MECOM","Etherlipidmetabolism/hsa00565","UCEC","MECOM UCEC"
"MECOM","Etherlipidmetabolism/hsa00565","PANCAN","MECOM PANCAN"
"MGAM","Sphingolipidmetabolism/hsa00600","LIHC","MGAM LIHC"
"MGAM","Sphingolipidmetabolism/hsa00600","KIRP","MGAM KIRP"
"MGAM","Sphingolipidmetabolism/hsa00600","BRCA","MGAM BRCA"
"NSD1","Oxidativephosphorylation/hsa00190","UVM","NSD1 UVM"
"NSD1","Oxidativephosphorylation/hsa00190","SKCM","NSD1 SKCM"
"NSD1","Oxidativephosphorylation/hsa00190","STAD","NSD1 STAD"
"NSD1","Oxidativephosphorylation/hsa00190","LAML","NSD1 LAML"
"NSD1","Oxidativephosphorylation/hsa00190","READ","NSD1 READ"
"NSD1","Oxidativephosphorylation/hsa00190","BRCA","NSD1 BRCA"
"NSD1","Oxidativephosphorylation/hsa00190","LUSC","NSD1 LUSC"
"NSD1","Oxidativephosphorylation/hsa00190","HNSC","NSD1 HNSC"
"NSD1","Oxidativephosphorylation/hsa00190","PANCAN","NSD1 PANCAN"
"NSD1","Oxidativephosphorylation/hsa00190","THYM","NSD1 THYM"
"NSD1","Oxidativephosphorylation/hsa00190","BLCA","NSD1 BLCA"
"NSD1","Oxidativephosphorylation/hsa00190","LIHC","NSD1 LIHC"
"NSD1","Oxidativephosphorylation/hsa00190","ESCA","NSD1 ESCA"
"NSD1","Oxidativephosphorylation/hsa00190","MESO","NSD1 MESO"
"NSD1","Oxidativephosphorylation/hsa00190","KIRP","NSD1 KIRP"
"NSD1","Oxidativephosphorylation/hsa00190","UCEC","NSD1 UCEC"
"NSD1","Oxidativephosphorylation/hsa00190","UCS","NSD1 UCS"
"NSD1","Oxidativephosphorylation/hsa00190","OV","NSD1 OV"
"NSD1","Oxidativephosphorylation/hsa00190","CESC","NSD1 CESC"
"NSD1","Oxidativephosphorylation/hsa00190","KIRC","NSD1 KIRC"
"NSD1","Oxidativephosphorylation/hsa00190","PAAD","NSD1 PAAD"
"NSD1","Oxidativephosphorylation/hsa00190","LUAD","NSD1 LUAD"
"NSD1","Oxidativephosphorylation/hsa00190","CHOL","NSD1 CHOL"
"NSD1","Oxidativephosphorylation/hsa00190","COAD","NSD1 COAD"
"NSD1","Oxidativephosphorylation/hsa00190","SARC","NSD1 SARC"
"NSD2","Etherlipidmetabolism/hsa00565","CHOL","NSD2 CHOL"
"NSD2","Etherlipidmetabolism/hsa00565","STAD","NSD2 STAD"
"NSD2","Etherlipidmetabolism/hsa00565","LIHC","NSD2 LIHC"
"NSD2","Etherlipidmetabolism/hsa00565","LAML","NSD2 LAML"
"NSD2","Etherlipidmetabolism/hsa00565","READ","NSD2 READ"
"NSD2","Etherlipidmetabolism/hsa00565","COAD","NSD2 COAD"
"NSD2","Etherlipidmetabolism/hsa00565","SARC","NSD2 SARC"
"NSD2","Etherlipidmetabolism/hsa00565","UCEC","NSD2 UCEC"
"NSD2","Etherlipidmetabolism/hsa00565","HNSC","NSD2 HNSC"
"NSD2","Etherlipidmetabolism/hsa00565","BLCA","NSD2 BLCA"
"NSD2","Etherlipidmetabolism/hsa00565","LUAD","NSD2 LUAD"
"NSD2","Etherlipidmetabolism/hsa00565","DLBC","NSD2 DLBC"
"NSD2","Etherlipidmetabolism/hsa00565","PANCAN","NSD2 PANCAN"
"NSD2","Etherlipidmetabolism/hsa00565","GBM","NSD2 GBM"
"NSD2","Etherlipidmetabolism/hsa00565","CESC","NSD2 CESC"
"NSD2","Etherlipidmetabolism/hsa00565","SKCM","NSD2 SKCM"
"NSD3","Etherlipidmetabolism/hsa00565","UCS","NSD3 UCS"
"NSD3","Etherlipidmetabolism/hsa00565","MESO","NSD3 MESO"
"NSD3","Etherlipidmetabolism/hsa00565","STAD","NSD3 STAD"
"NSD3","Etherlipidmetabolism/hsa00565","SKCM","NSD3 SKCM"
"NSD3","Etherlipidmetabolism/hsa00565","LUSC","NSD3 LUSC"
"NSD3","Etherlipidmetabolism/hsa00565","SARC","NSD3 SARC"
"NSD3","Etherlipidmetabolism/hsa00565","ESCA","NSD3 ESCA"
"NSD3","Etherlipidmetabolism/hsa00565","PANCAN","NSD3 PANCAN"
"NSD3","Etherlipidmetabolism/hsa00565","BLCA","NSD3 BLCA"
"NSD3","Etherlipidmetabolism/hsa00565","KIRC","NSD3 KIRC"
"NSD3","Etherlipidmetabolism/hsa00565","COAD","NSD3 COAD"
"NSD3","Etherlipidmetabolism/hsa00565","CHOL","NSD3 CHOL"
"NSD3","Etherlipidmetabolism/hsa00565","GBM","NSD3 GBM"
"NSD3","Etherlipidmetabolism/hsa00565","READ","NSD3 READ"
"NSD3","Etherlipidmetabolism/hsa00565","UCEC","NSD3 UCEC"
"NSD3","Etherlipidmetabolism/hsa00565","CESC","NSD3 CESC"
"NSD3","Etherlipidmetabolism/hsa00565","LIHC","NSD3 LIHC"
"NSD3","Etherlipidmetabolism/hsa00565","LAML","NSD3 LAML"
"NSD3","Etherlipidmetabolism/hsa00565","BRCA","NSD3 BRCA"
"NSD3","Etherlipidmetabolism/hsa00565","HNSC","NSD3 HNSC"
"NSD3","Etherlipidmetabolism/hsa00565","OS","NSD3 OS"
"NSD3","Etherlipidmetabolism/hsa00565","LUAD","NSD3 LUAD"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","STAD","NT5C2 STAD"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","LUSC","NT5C2 LUSC"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","COAD","NT5C2 COAD"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","CESC","NT5C2 CESC"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","GBM","NT5C2 GBM"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","READ","NT5C2 READ"
"NT5C2","Ubiquinoneandotherterpenoid/hsa00130","UCEC","NT5C2 UCEC"
"PAFAH1B2","Lysinedegradation/hsa00310","UCEC","PAFAH1B2 UCEC"
"PAFAH1B2","Lysinedegradation/hsa00310","THCA","PAFAH1B2 THCA"
"PAFAH1B2","Lysinedegradation/hsa00310","CHOL","PAFAH1B2 CHOL"
"PFAS","Inositolphosphatemetabolism/hsa00562","HNSC","PFAS HNSC"
"PI4KA","Cysteineandmethioninemetabolism/hsa00270","BRCA","PI4KA BRCA"
"PIK3C2A","Cysteineandmethioninemetabolism/hsa00270","HNSC","PIK3C2A HNSC"
"PIK3C2A","Cysteineandmethioninemetabolism/hsa00270","COAD","PIK3C2A COAD"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","BLCA","PIK3CA BLCA"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","GBM","PIK3CA GBM"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","KIRP","PIK3CA KIRP"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","ESCA","PIK3CA ESCA"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","PANCAN","PIK3CA PANCAN"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","COAD","PIK3CA COAD"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","PRAD","PIK3CA PRAD"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","HNSC","PIK3CA HNSC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","OV","PIK3CA OV"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","MESO","PIK3CA MESO"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","STAD","PIK3CA STAD"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","SARC","PIK3CA SARC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","CESC","PIK3CA CESC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","UCEC","PIK3CA UCEC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","UCS","PIK3CA UCS"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","LIHC","PIK3CA LIHC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","LUAD","PIK3CA LUAD"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","CHOL","PIK3CA CHOL"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","EPM","PIK3CA EPM"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","PAAD","PIK3CA PAAD"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","NBL","PIK3CA NBL"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","BRCA","PIK3CA BRCA"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","LGG","PIK3CA LGG"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","LUSC","PIK3CA LUSC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","DLBC","PIK3CA DLBC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","SKCM","PIK3CA SKCM"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","KIRC","PIK3CA KIRC"
"PIK3CA","Onecarbonpoolbyfolate/hsa00670","READ","PIK3CA READ"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","PANCAN","PIK3CB PANCAN"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","BLCA","PIK3CB BLCA"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","CESC","PIK3CB CESC"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","ESCA","PIK3CB ESCA"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","GBM","PIK3CB GBM"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","LAML","PIK3CB LAML"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","SARC","PIK3CB SARC"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","HNSC","PIK3CB HNSC"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","READ","PIK3CB READ"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","LUSC","PIK3CB LUSC"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","OV","PIK3CB OV"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","UCEC","PIK3CB UCEC"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","STAD","PIK3CB STAD"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","SKCM","PIK3CB SKCM"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","CHOL","PIK3CB CHOL"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","BRCA","PIK3CB BRCA"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","COAD","PIK3CB COAD"
"PIK3CB","Cysteineandmethioninemetabolism/hsa00270","LUAD","PIK3CB LUAD"
"PLCB4","Thiaminemetabolism/hsa00730","HNSC","PLCB4 HNSC"
"PLCB4","Thiaminemetabolism/hsa00730","LIHC","PLCB4 LIHC"
"PLCB4","Thiaminemetabolism/hsa00730","PRAD","PLCB4 PRAD"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","OS","PLCG1 OS"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","COAD","PLCG1 COAD"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","BRCA","PLCG1 BRCA"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","READ","PLCG1 READ"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","DLBC","PLCG1 DLBC"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","UCS","PLCG1 UCS"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","SKCM","PLCG1 SKCM"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","BLCA","PLCG1 BLCA"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","LUAD","PLCG1 LUAD"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","GBM","PLCG1 GBM"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","CESC","PLCG1 CESC"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","PANCAN","PLCG1 PANCAN"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","LIHC","PLCG1 LIHC"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","ESCA","PLCG1 ESCA"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","THYM","PLCG1 THYM"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","UCEC","PLCG1 UCEC"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","KICH","PLCG1 KICH"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","STAD","PLCG1 STAD"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","LUSC","PLCG1 LUSC"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","SARC","PLCG1 SARC"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","COADREAD","PLCG1 COADREAD"
"PLCG1","Cysteineandmethioninemetabolism/hsa00270","HNSC","PLCG1 HNSC"
"PLCG2","Cysteineandmethioninemetabolism/hsa00270","HNSC","PLCG2 HNSC"
"PLCG2","Cysteineandmethioninemetabolism/hsa00270","LIHC","PLCG2 LIHC"
"PLCG2","Cysteineandmethioninemetabolism/hsa00270","LUAD","PLCG2 LUAD"
"PLCG2","Cysteineandmethioninemetabolism/hsa00270","BLCA","PLCG2 BLCA"
"PRDM16","Oxidativephosphorylation/hsa00190","PANCAN","PRDM16 PANCAN"
"PRDM16","Oxidativephosphorylation/hsa00190","LUAD","PRDM16 LUAD"
"PRDM16","Oxidativephosphorylation/hsa00190","BLCA","PRDM16 BLCA"
"PRDM16","Oxidativephosphorylation/hsa00190","KIRP","PRDM16 KIRP"
"PRDM16","Oxidativephosphorylation/hsa00190","READ","PRDM16 READ"
"PRDM16","Oxidativephosphorylation/hsa00190","COAD","PRDM16 COAD"
"PRDM16","Oxidativephosphorylation/hsa00190","PRAD","PRDM16 PRAD"
"PRDM16","Oxidativephosphorylation/hsa00190","PAAD","PRDM16 PAAD"
"PRDM16","Oxidativephosphorylation/hsa00190","UCEC","PRDM16 UCEC"
"PRDM16","Oxidativephosphorylation/hsa00190","KIRC","PRDM16 KIRC"
"PRDM16","Oxidativephosphorylation/hsa00190","LUSC","PRDM16 LUSC"
"PRDM16","Oxidativephosphorylation/hsa00190","ESCA","PRDM16 ESCA"
"PRDM16","Oxidativephosphorylation/hsa00190","SKCM","PRDM16 SKCM"
"PRDM16","Oxidativephosphorylation/hsa00190","SARC","PRDM16 SARC"
"PRDM16","Oxidativephosphorylation/hsa00190","THCA","PRDM16 THCA"
"PRDM16","Oxidativephosphorylation/hsa00190","STAD","PRDM16 STAD"
"PRDM16","Oxidativephosphorylation/hsa00190","DLBC","PRDM16 DLBC"
"PRDM16","Oxidativephosphorylation/hsa00190","KICH","PRDM16 KICH"
"PRDM16","Oxidativephosphorylation/hsa00190","CESC","PRDM16 CESC"
"PRDM16","Oxidativephosphorylation/hsa00190","OV","PRDM16 OV"
"PRDM16","Oxidativephosphorylation/hsa00190","LIHC","PRDM16 LIHC"
"PRDM16","Oxidativephosphorylation/hsa00190","CHOL","PRDM16 CHOL"
"PRDM16","Oxidativephosphorylation/hsa00190","HNSC","PRDM16 HNSC"
"PRDM2","Oxidativephosphorylation/hsa00190","KICH","PRDM2 KICH"
"PRDM2","Oxidativephosphorylation/hsa00190","NBL","PRDM2 NBL"
"PRDM2","Oxidativephosphorylation/hsa00190","UCEC","PRDM2 UCEC"
"PRDM2","Oxidativephosphorylation/hsa00190","LIHC","PRDM2 LIHC"
"PRDM2","Oxidativephosphorylation/hsa00190","COAD","PRDM2 COAD"
"PRDM2","Oxidativephosphorylation/hsa00190","STAD","PRDM2 STAD"
"PRDM2","Oxidativephosphorylation/hsa00190","SARC","PRDM2 SARC"
"PRDM2","Oxidativephosphorylation/hsa00190","LUSC","PRDM2 LUSC"
"PRDM2","Oxidativephosphorylation/hsa00190","READ","PRDM2 READ"
"PRDM2","Oxidativephosphorylation/hsa00190","KIRP","PRDM2 KIRP"
"PRDM2","Oxidativephosphorylation/hsa00190","PANCAN","PRDM2 PANCAN"
"PRDM2","Oxidativephosphorylation/hsa00190","UCS","PRDM2 UCS"
"PRDM2","Oxidativephosphorylation/hsa00190","DLBC","PRDM2 DLBC"
"PRDM2","Oxidativephosphorylation/hsa00190","CHOL","PRDM2 CHOL"
"PRDM2","Oxidativephosphorylation/hsa00190","SKCM","PRDM2 SKCM"
"PRDM2","Oxidativephosphorylation/hsa00190","HNSC","PRDM2 HNSC"
"PRDM2","Oxidativephosphorylation/hsa00190","LUAD","PRDM2 LUAD"
"PRDM2","Oxidativephosphorylation/hsa00190","CESC","PRDM2 CESC"
"PRDM2","Oxidativephosphorylation/hsa00190","BLCA","PRDM2 BLCA"
"PRDM2","Oxidativephosphorylation/hsa00190","BRCA","PRDM2 BRCA"
"PRDM9","Etherlipidmetabolism/hsa00565","ESCA","PRDM9 ESCA"
"PTEN","Onecarbonpoolbyfolate/hsa00670","KICH","PTEN KICH"
"PTEN","Onecarbonpoolbyfolate/hsa00670","BRCA","PTEN BRCA"
"PTEN","Onecarbonpoolbyfolate/hsa00670","BLCA","PTEN BLCA"
"PTEN","Onecarbonpoolbyfolate/hsa00670","PANCAN","PTEN PANCAN"
"PTEN","Onecarbonpoolbyfolate/hsa00670","CHOL","PTEN CHOL"
"PTEN","Onecarbonpoolbyfolate/hsa00670","ESCA","PTEN ESCA"
"PTEN","Onecarbonpoolbyfolate/hsa00670","UCEC","PTEN UCEC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","LUSC","PTEN LUSC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","COAD","PTEN COAD"
"PTEN","Onecarbonpoolbyfolate/hsa00670","LGG","PTEN LGG"
"PTEN","Onecarbonpoolbyfolate/hsa00670","LIHC","PTEN LIHC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","LUAD","PTEN LUAD"
"PTEN","Onecarbonpoolbyfolate/hsa00670","CESC","PTEN CESC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","SARC","PTEN SARC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","UCS","PTEN UCS"
"PTEN","Onecarbonpoolbyfolate/hsa00670","HNSC","PTEN HNSC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","OS","PTEN OS"
"PTEN","Onecarbonpoolbyfolate/hsa00670","READ","PTEN READ"
"PTEN","Onecarbonpoolbyfolate/hsa00670","STAD","PTEN STAD"
"PTEN","Onecarbonpoolbyfolate/hsa00670","KIRP","PTEN KIRP"
"PTEN","Onecarbonpoolbyfolate/hsa00670","OV","PTEN OV"
"PTEN","Onecarbonpoolbyfolate/hsa00670","SKCM","PTEN SKCM"
"PTEN","Onecarbonpoolbyfolate/hsa00670","DLBC","PTEN DLBC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","LAML","PTEN LAML"
"PTEN","Onecarbonpoolbyfolate/hsa00670","KIRC","PTEN KIRC"
"PTEN","Onecarbonpoolbyfolate/hsa00670","MESO","PTEN MESO"
"PTEN","Onecarbonpoolbyfolate/hsa00670","PRAD","PTEN PRAD"
"PTEN","Onecarbonpoolbyfolate/hsa00670","GBM","PTEN GBM"
"RPN1","Sphingolipidmetabolism/hsa00600","COAD","RPN1 COAD"
"RPN1","Sphingolipidmetabolism/hsa00600","THYM","RPN1 THYM"
"RPN1","Sphingolipidmetabolism/hsa00600","MESO","RPN1 MESO"
"RPN1","Sphingolipidmetabolism/hsa00600","SKCM","RPN1 SKCM"
"RPN1","Sphingolipidmetabolism/hsa00600","UCEC","RPN1 UCEC"
"RPN1","Sphingolipidmetabolism/hsa00600","STAD","RPN1 STAD"
"RPN1","Sphingolipidmetabolism/hsa00600","CESC","RPN1 CESC"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","ESCA","SDHA ESCA"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","KICH","SDHA KICH"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","LUAD","SDHA LUAD"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","PANCAN","SDHA PANCAN"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","STAD","SDHA STAD"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","READ","SDHA READ"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","LUSC","SDHA LUSC"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","UCS","SDHA UCS"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","COAD","SDHA COAD"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","LAML","SDHA LAML"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","SKCM","SDHA SKCM"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","CESC","SDHA CESC"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","BLCA","SDHA BLCA"
"SDHA","Ascorbateandaldaratemetabolism/hsa00053","UCEC","SDHA UCEC"
"SDHB","Glycolysis/Gluconeogenesis/hsa00010","THYM","SDHB THYM"
"SDHB","Glycolysis/Gluconeogenesis/hsa00010","PCPG","SDHB PCPG"
"SDHB","Glycolysis/Gluconeogenesis/hsa00010","UCEC","SDHB UCEC"
"SDHB","Glycolysis/Gluconeogenesis/hsa00010","CESC","SDHB CESC"
"SDHC","Glycolysis/Gluconeogenesis/hsa00010","SKCM","SDHC SKCM"
"SDHC","Glycolysis/Gluconeogenesis/hsa00010","UCEC","SDHC UCEC"
"SDHC","Glycolysis/Gluconeogenesis/hsa00010","DLBC","SDHC DLBC"
"SDHD","Glycolysis/Gluconeogenesis/hsa00010","ESCA","SDHD ESCA"
"SDHD","Glycolysis/Gluconeogenesis/hsa00010","UCEC","SDHD UCEC"
"SDHD","Glycolysis/Gluconeogenesis/hsa00010","MESO","SDHD MESO"
"SDHD","Glycolysis/Gluconeogenesis/hsa00010","BLCA","SDHD BLCA"
"SETD1B","Etherlipidmetabolism/hsa00565","COAD","SETD1B COAD"
"SETD1B","Etherlipidmetabolism/hsa00565","SARC","SETD1B SARC"
"SETD1B","Etherlipidmetabolism/hsa00565","LAML","SETD1B LAML"
"SETD1B","Etherlipidmetabolism/hsa00565","DLBC","SETD1B DLBC"
"SETD1B","Etherlipidmetabolism/hsa00565","KICH","SETD1B KICH"
"SETD2","Etherlipidmetabolism/hsa00565","UCEC","SETD2 UCEC"
"SETD2","Etherlipidmetabolism/hsa00565","OV","SETD2 OV"
"SETD2","Etherlipidmetabolism/hsa00565","LUSC","SETD2 LUSC"
"SETD2","Etherlipidmetabolism/hsa00565","MESO","SETD2 MESO"
"SETD2","Etherlipidmetabolism/hsa00565","KICH","SETD2 KICH"
"SETD2","Etherlipidmetabolism/hsa00565","BRCA","SETD2 BRCA"
"SETD2","Etherlipidmetabolism/hsa00565","READ","SETD2 READ"
"SETD2","Etherlipidmetabolism/hsa00565","LGG","SETD2 LGG"
"SETD2","Etherlipidmetabolism/hsa00565","HNSC","SETD2 HNSC"
"SETD2","Etherlipidmetabolism/hsa00565","CESC","SETD2 CESC"
"SETD2","Etherlipidmetabolism/hsa00565","BLCA","SETD2 BLCA"
"SETD2","Etherlipidmetabolism/hsa00565","PANCAN","SETD2 PANCAN"
"SETD2","Etherlipidmetabolism/hsa00565","OS","SETD2 OS"
"SETD2","Etherlipidmetabolism/hsa00565","PCPCG","SETD2 PCPCG"
"SETD2","Etherlipidmetabolism/hsa00565","LAML","SETD2 LAML"
"SETD2","Etherlipidmetabolism/hsa00565","LUAD","SETD2 LUAD"
"SETD2","Etherlipidmetabolism/hsa00565","UVM","SETD2 UVM"
"SETD2","Etherlipidmetabolism/hsa00565","KIRC","SETD2 KIRC"
"SETD2","Etherlipidmetabolism/hsa00565","PAAD","SETD2 PAAD"
"SETD2","Etherlipidmetabolism/hsa00565","SKCM","SETD2 SKCM"
"SETD2","Etherlipidmetabolism/hsa00565","KIRP","SETD2 KIRP"
"SETD2","Etherlipidmetabolism/hsa00565","PRAD","SETD2 PRAD"
"SETD2","Etherlipidmetabolism/hsa00565","ESCA","SETD2 ESCA"
"SETD2","Etherlipidmetabolism/hsa00565","STAD","SETD2 STAD"
"SETD2","Etherlipidmetabolism/hsa00565","COAD","SETD2 COAD"
"SETD2","Etherlipidmetabolism/hsa00565","LIHC","SETD2 LIHC"
"SETD2","Etherlipidmetabolism/hsa00565","GBM","SETD2 GBM"
"SETD2","Etherlipidmetabolism/hsa00565","SARC","SETD2 SARC"
"SETD2","Etherlipidmetabolism/hsa00565","CHOL","SETD2 CHOL"
"SETD2","Etherlipidmetabolism/hsa00565","UCS","SETD2 UCS"
"SETD2","Etherlipidmetabolism/hsa00565","THYM","SETD2 THYM"
"SETDB1","Oxidativephosphorylation/hsa00190","SKCM","SETDB1 SKCM"
"SETDB1","Oxidativephosphorylation/hsa00190","BLCA","SETDB1 BLCA"
