"Pathway","Genes","Category"
"Eicosanoids","CYP4A11,CYP4A22,CYP4B1,CYP4F11,CYP4F12,CYP4F2,CYP4F22,CYP4F3,CYP4F8,CYP8B1,PTGIS,TBXAS1","Reactome"
"Electron transport from NADPH to Ferredoxin","FDX1,FDX2,FDXR","Reactome"
"Endogenous sterols","AHR,AHRR,ARNT,ARNT2,CYP11A1,CYP11B1,CYP11B2,CYP19A1,CYP1B1,CYP21A2,CYP27A1,CYP39A1,CYP46A1,CYP4V2,CYP51A1,CYP7A1,CYP7B1,CYP8B1,FDX1,FDX2,FDXR,NCOA1,NCOA2,NR1H4,POMC,PTGIS,RXRA","Reactome"
"Estrogen biosynthesis","AKR1B15,CYP19A1,HSD17B1,HSD17B11,HSD17B14,HSD17B2","Reactome"
"Ethanol oxidation","ACSS1,ACSS2,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1A1,ALDH1B1,ALDH2","Reactome"
"Eukaryotic Translation Elongation","18S rRNA,28S rRNA,5.8S rRNA,5S rRNA,EEF1A1,EEF1A1P5,EEF1A2,EEF1B2,EEF1D,EEF1G,EEF2,FAU,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,UBA52","Reactome"
"Eukaryotic Translation Initiation","18S rRNA,28S rRNA,5.8S rRNA,5S rRNA,EIF1AX,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4EBP1,EIF4G1,EIF4H,EIF5,EIF5B,FAU,PABPC1,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,UBA52","Reactome"
"Eukaryotic Translation Termination","18S rRNA,28S rRNA,5.8S rRNA,5S rRNA,APEH,ETF1,FAU,GSPT1,GSPT2,N6AMT1,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,TRMT112,UBA52","Reactome"
"FMO oxidises nucleophiles","FMO1,FMO2,FMO3","Reactome"
"Fatty Acids bound to GPR40 FFAR1 regulate insulin secretion","FFAR1,GNA11,GNA14,GNA15,GNAQ,PLCB1,PLCB2,PLCB3","Reactome"
"Fatty acid metabolism","ABCC1,ABCD1,ACAA1,ACAA2,ACACA,ACACB,ACAD10,ACAD11,ACADL,ACADM,ACADS,ACADVL,ACBD4,ACBD5,ACBD6,ACBD7,ACLY,ACOT1,ACOT11,ACOT12,ACOT13,ACOT2,ACOT4,ACOT6,ACOT7,ACOT7L,ACOT8,ACOT9,ACOX1,ACOX2,ACOX3,ACOXL,ACSBG1,ACSBG2,ACSF2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,ACSM3,ACSM6,AKR1C3,ALDH3A2,ALOX12,ALOX12B,ALOX15,ALOX15B,ALOX5,ALOX5AP,ALOXE3,AMACR,AWAT1,CBR1,CBR4,CPT1A,CPT1B,CPT2,CRAT,CROT,CYP1A1,CYP1A2,CYP1B1,CYP2C19,CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP4A11,CYP4A22,CYP4B1,CYP4F11,CYP4F2,CYP4F22,CYP4F3,CYP4F8,CYP8B1,DBI,DECR1,DECR2,DPEP1,DPEP2,DPEP3,ECHS1,ECI1,ECI2,EHHADH,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,EPHX2,FAAH,FAAH2,FADS1,FADS2,FASN,GGT1,GGT5,GPX1,GPX2,GPX4,HACD1,HACD2,HACD3,HACD4,HACL1,HADH,HADHA,HADHB,HAO2,HPGD,HPGDS,HSD17B12,HSD17B3,HSD17B4,HSD17B8,HTD2,LTA4H,LTC4S,MAPKAPK2,MCAT,MCEE,MECR,MID1IP1,MLYCD,MMAA,MMUT,MORC2,NDUFAB1,NUDT19,NUDT7,OLAH,PCCA,PCCB,PCTP,PECR,PHYH,PLA2G4A,PON1,PON2,PON3,PPARD,PPT1,PPT2,PRKAA2,PRKAB2,PRKAG2,PRXL2B,PTGDS,PTGES,PTGES2,PTGES3,PTGIS,PTGR1,PTGR2,PTGS1,PTGS2,RXRA,SCD,SCD5,SCP2,SLC22A5,SLC25A1,SLC25A17,SLC25A20,SLC27A2,SLC27A3,TBXAS1,TECR,TECRL,THEM4,THEM5,THRSP","Reactome"
"Fatty acids","CYP2A13,CYP2A7,CYP2B6,CYP2D6,CYP2F1,CYP2J2,CYP4A11,CYP4A22,CYP4B1,CYP4F11,CYP4F12,CYP4F2,CYP4F22,CYP4F3,CYP4F8","Reactome"
"Fatty acyl-CoA biosynthesis","ACACA,ACLY,ACSBG1,ACSBG2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,CBR4,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,FASN,HACD1,HACD2,HACD3,HACD4,HSD17B12,HSD17B3,HSD17B8,HTD2,MORC2,OLAH,PPT1,PPT2,SCD,SCD5,SLC25A1,SLC27A2,SLC27A3,TECR,TECRL","Reactome"
"Folding of actin by CCT/TriC","ACTB,CCT2,CCT3,CCT4,CCT5,CCT6A,CCT6B,CCT7,CCT8,TCP1","Reactome"
"Formation of ATP by chemiosmotic coupling","ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,DMAC2L,MT-ATP6,MT-ATP8","Reactome"
"Formation of a pool of free 40S subunits","18S rRNA,28S rRNA,5.8S rRNA,5S rRNA,EIF1AX,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,FAU,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,UBA52","Reactome"
"Formation of the active cofactor, UDP-glucuronate","SLC35D1,UGDH,UGP2","Reactome"
"Formation of the ternary complex, and subsequently, the 43S complex","18S rRNA,EIF1AX,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,FAU,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA","Reactome"
"Formation of tubulin folding intermediates by CCT/TriC","CCT2,CCT3,CCT4,CCT5,CCT6A,CCT6B,CCT7,CCT8,TCP1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6","Reactome"
"Formation of xylulose-5-phosphate","AKR1A1,CRYL1,DCXR,SORD,XYLB","Reactome"
"Free fatty acids regulate insulin secretion","ACSL3,ACSL4,CD36,FFAR1,GNA11,GNA14,GNA15,GNAQ,PLCB1,PLCB2,PLCB3","Reactome"
"Fructose biosynthesis","AKR1B1,SORD","Reactome"
"Fructose catabolism","ALDH1A1,ALDOB,GLYCTK,KHK,TKFC","Reactome"
"Fructose metabolism","AKR1B1,ALDH1A1,ALDOB,GLYCTK,KHK,SORD,TKFC","Reactome"
"GDP-fucose biosynthesis","FCSK,FPGT,FUOM,GFUS,GMDS,SLC35C1","Reactome"
"GTP hydrolysis and joining of the 60S ribosomal subunit","18S rRNA,28S rRNA,5.8S rRNA,5S rRNA,EIF1AX,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4G1,EIF4H,EIF5,EIF5B,FAU,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,UBA52","Reactome"
"Galactose catabolism","GALE,GALK1,GALT,PGM1","Reactome"
"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation","ARSA,ARSB,ARSD,ARSF,ARSG,ARSH,ARSI,ARSJ,ARSK,ARSL,ASPH,BGLAP,DHPS,DNAJC24,DOHH,DPH1,DPH2,DPH3,DPH5,DPH6,DPH7,DRG1,DRG2,EEF2,EIF5A,EIF5A2,ETF1,F10,F2,F7,F8,F9,FN3K,FN3KRP,FURIN,GAS6,GGCX,ICMT,JMJD4,JMJD6,JMJD7,KDM8,MINA,NO66,OGFOD1,PROC,PROS1,PROZ,RCCD1,RPL27A,RPL8,RPS23,RPS6,RWDD1,STS,SUMF1,SUMF2,TPST1,TPST2,U2AF2,ZC3H15","Reactome"
"Gamma-carboxylation of protein precursors","BGLAP,F10,F2,F7,F9,GAS6,GGCX,PROC,PROS1,PROZ","Reactome"
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins","BGLAP,F10,F2,F7,F9,FURIN,GAS6,GGCX,PROC,PROS1,PROZ","Reactome"
"Glucagon signaling in metabolic regulation","ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,GCG,GCGR,GNAS,GNB1,GNB2,GNB3,GNB4,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B","Reactome"
"Glucagon-like Peptide-1 GLP1 regulates insulin secretion","ADCY5,ADCY6,ADCY8,AKAP5,GCG,GLP1R,GNAS,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,IQGAP1,ITPR1,ITPR2,ITPR3,KCNB1,KCNC2,KCNG2,KCNS3,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,RAP1A,RAPGEF3,RAPGEF4","Reactome"
"Glucocorticoid biosynthesis","CYP11B1,CYP11B2,CYP17A1,CYP21A2,HSD11B1,HSD11B2,HSD3B1,HSD3B2,POMC,SERPINA6","Reactome"
"Gluconeogenesis","ALDOA,ALDOB,ALDOC,ENO1,ENO2,ENO3,ENO4,FBP1,FBP2,G6PC1,G6PC2,G6PC3,GAPDH,GAPDHS,GOT1,GOT2,GPI,MDH1,MDH2,PC,PCK1,PCK2,PGAM1,PGAM2,PGK1,PGK2,SLC25A1,SLC25A10,SLC25A11,SLC25A12,SLC25A13,SLC37A1,SLC37A2,SLC37A4,TPI1","Reactome"
"Glucose metabolism","AAAS,ADPGK,ALDOA,ALDOB,ALDOC,BPGM,ENO1,ENO2,ENO3,ENO4,FBP1,FBP2,G6PC1,G6PC2,G6PC3,GAPDH,GAPDHS,GCK,GCKR,GNPDA1,GNPDA2,GOT1,GOT2,GPI,HK1,HK2,HK3,HKDC1,MDH1,MDH2,NDC1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,PC,PCK1,PCK2,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM2L1,PGP,PKLR,PKM,POM121,POM121C,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PRKACA,PRKACB,PRKACG,RAE1,RANBP2,SEC13,SEH1L,SLC25A1,SLC25A10,SLC25A11,SLC25A12,SLC25A13,SLC37A1,SLC37A2,SLC37A4,TPI1,TPR","Reactome"
"Glucuronidation","ABHD10,SLC35D1,UGDH,UGP2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A2,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A1,UGT3A2","Reactome"
"Glutamate and glutamine metabolism","ALDH18A1,GLS,GLS2,GLUD1,GLUD2,GLUL,GOT2,KYAT1,OAT,PYCR1,PYCR2,PYCRL,RIMKLA,RIMKLB","Reactome"
"Glutathione conjugation","AKR1A1,CHAC1,CHAC2,CNDP2,ESD,GCLC,GCLM,GGCT,GGT1,GGT3P,GGT5,GGT6,GGT7,GSS,GSTA1,GSTA2,GSTA3,GSTA4,GSTA5,GSTK1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTO1,GSTO2,GSTP1,GSTT1,GSTT2,GSTT2B,GSTZ1,HPGDS,MGST1,MGST2,MGST3,OPLAH","Reactome"
"Glutathione synthesis and recycling","CHAC1,CHAC2,CNDP2,GCLC,GCLM,GGCT,GGT1,GGT3P,GGT5,GGT6,GGT7,GSS,OPLAH","Reactome"
"Glycerophospholipid biosynthesis","ABHD3,ABHD4,ACHE,ACP6,AGK,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,ALPI,AWAT2,BCHE,CDIPT,CDS1,CDS2,CEPT1,CHAT,CHKA,CHKB,CHPT1,CPNE1,CPNE3,CPNE6,CPNE7,CRLS1,CSNK2A1,CSNK2A2,CSNK2B,DDHD1,DDHD2,DGAT1,DGAT2,DGAT2L6,ETNK1,ETNK2,ETNPPL,GNPAT,GPAM,GPAT2,GPAT3,GPAT4,GPCPD1,GPD1,GPD1L,GPD2,HADHA,HADHB,LCLAT1,LIPH,LIPI,LPCAT1,LPCAT2,LPCAT3,LPCAT4,LPGAT1,LPIN1,LPIN2,LPIN3,MBOAT1,MBOAT2,MBOAT7,MFSD2A,MGLL,MIGA1,MIGA2,OSBPL10,OSBPL5,OSBPL8,PCTP,PCYT1A,PCYT1B,PCYT2,PEMT,PGS1,PHOSPHO1,PISD,PITPNB,PITPNM1,PITPNM2,PITPNM3,PLA1A,PLA2G10,PLA2G12A,PLA2G15,PLA2G1B,PLA2G2A,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLA2R1,PLAAT1,PLAAT2,PLAAT3,PLAAT4,PLAAT5,PLB1,PLBD1,PLD1,PLD2,PLD3,PLD4,PLD6,PNPLA2,PNPLA3,PNPLA8,PTDSS1,PTDSS2,PTPMT1,SELENOI,SLC44A1,SLC44A2,SLC44A3,SLC44A4,SLC44A5,STARD10,STARD7,TAFAZZIN,TMEM86B","Reactome"
"Glycerophospholipid catabolism","ENPP6,GDE1,GDPD1,GDPD3,GDPD5,PNPLA6,PNPLA7","Reactome"
"Glycine degradation","AMT,DLD,GCSH,GLDC","Reactome"
"Glycogen breakdown glycogenolysis","AGL,CALM1,GAA,GYG1,GYG2,PGM1,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PYGB,PYGL,PYGM","Reactome"
"Glycogen metabolism","AGL,CALM1,EPM2A,GAA,GBE1,GYG1,GYG2,GYS1,GYS2,NHLRC1,PGM1,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PPP1R3C,PYGB,PYGL,PYGM,RPS27A,UBA52,UBB,UBC,UGP2","Reactome"
"Glycogen synthesis","EPM2A,GBE1,GYG1,GYG2,GYS1,GYS2,NHLRC1,PGM1,PPP1R3C,RPS27A,UBA52,UBB,UBC,UGP2","Reactome"
"Glycolysis","AAAS,ADPGK,ALDOA,ALDOB,ALDOC,BPGM,ENO1,ENO2,ENO3,ENO4,GAPDH,GAPDHS,GCK,GCKR,GNPDA1,GNPDA2,GPI,HK1,HK2,HK3,HKDC1,NDC1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM2L1,PGP,PKLR,PKM,POM121,POM121C,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PRKACA,PRKACB,PRKACG,RAE1,RANBP2,SEC13,SEH1L,TPI1,TPR","Reactome"
"Glycoprotein hormones","CGA,CGB3,FSHB,INHA,INHBA,INHBB,INHBC,INHBE,LHB,TSHB","Reactome"
"Glycosaminoglycan metabolism","ABCC5,ACAN,AGRN,ARSB,B3GALT6,B3GAT1,B3GAT2,B3GAT3,B3GNT2,B3GNT3,B3GNT4,B3GNT7,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GALT7,B4GAT1,BCAN,BGN,CD44,CEMIP,CHP1,CHPF,CHPF2,CHST1,CHST11,CHST12,CHST13,CHST14,CHST15,CHST2,CHST3,CHST5,CHST6,CHST7,CHST9,CHSY1,CHSY3,CSGALNACT1,CSGALNACT2,CSPG4,CSPG5,DCN,DSE,DSEL,EXT1,EXT2,FMOD,GALNS,GLB1,GLB1L,GLB1L2,GLB1L3,GLCE,GNS,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,GUSB,HAS1,HAS2,HAS3,HEXA,HEXB,HGSNAT,HMMR,HPSE,HPSE2,HS2ST1,HS3ST1,HS3ST2,HS3ST3A1,HS3ST3B1,HS3ST4,HS3ST5,HS3ST6,HS6ST1,HS6ST2,HS6ST3,HSPG2,HYAL1,HYAL2,HYAL3,IDS,IDUA,KERA,LUM,LYVE1,NAGLU,NCAN,NDST1,NDST2,NDST3,NDST4,OGN,OMD,PAPSS1,PAPSS2,PRELP,SDC1,SDC2,SDC3,SDC4,SGSH,SLC26A1,SLC26A2,SLC35B2,SLC35B3,SLC35D2,SLC9A1,ST3GAL1,ST3GAL2,ST3GAL3,ST3GAL4,ST3GAL6,STAB2,UST,VCAN,XYLT1,XYLT2","Reactome"
"Glycosphingolipid biosynthesis","B3GALNT1,B4GALNT1,CERK,CPTP,ESYT1,ESYT2,ESYT3,GLTP,UGCG,UGT8","Reactome"
"Glycosphingolipid catabolism","ARSA,ARSB,ARSD,ARSF,ARSG,ARSH,ARSI,ARSJ,ARSK,ARSL,ASAH1,ASAH2,CTSA,ENPP7,GALC,GBA1,GBA2,GBA3,GLA,GLB1,GLB1L,GLB1L2,GLB1L3,GM2A,HEXA,HEXB,M6PR,NEU1,NEU2,NEU3,NEU4,PSAP,SMPD1,SMPD2,SMPD3,SMPD4,STS,SUMF1,SUMF2","Reactome"
"Glycosphingolipid metabolism","ARSA,ARSB,ARSD,ARSF,ARSG,ARSH,ARSI,ARSJ,ARSK,ARSL,ASAH1,ASAH2,B3GALNT1,B4GALNT1,CERK,CPTP,CTSA,ENPP7,ESYT1,ESYT2,ESYT3,GALC,GBA1,GBA2,GBA3,GLA,GLB1,GLB1L,GLB1L2,GLB1L3,GLTP,GM2A,HEXA,HEXB,M6PR,NEU1,NEU2,NEU3,NEU4,PSAP,SMPD1,SMPD2,SMPD3,SMPD4,STS,SUMF1,SUMF2,UGCG,UGT8","Reactome"
"Glyoxylate metabolism and glycine degradation","AGXT,AGXT2,ALDH4A1,AMT,BCKDHA,BCKDHB,DAO,DBT,DDO,DHTKD1,DLAT,DLD,DLST,GCSH,GLDC,GNMT,GOT2,GRHPR,HAO1,HOGA1,LIAS,LIPT1,LIPT2,NDUFAB1,OGDH,PDHA1,PDHA2,PDHB,PDHX,PRODH2,PXMP2","Reactome"
"HS-GAG biosynthesis","AGRN,EXT1,EXT2,GLCE,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,HS2ST1,HS3ST1,HS3ST2,HS3ST3A1,HS3ST3B1,HS3ST4,HS3ST5,HS3ST6,HS6ST1,HS6ST2,HS6ST3,HSPG2,NDST1,NDST2,NDST3,NDST4,SDC1,SDC2,SDC3,SDC4,SLC35D2","Reactome"
"HS-GAG degradation","AGRN,GLB1,GLB1L,GLB1L2,GLB1L3,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,GUSB,HGSNAT,HPSE,HPSE2,HSPG2,IDS,IDUA,NAGLU,SDC1,SDC2,SDC3,SDC4,SGSH","Reactome"
"Heme biosynthesis","ABCG2,ALAD,ALAS1,ALAS2,ALB,COX10,COX15,CPOX,FECH,FLVCR1,HMBS,PPOX,UROD,UROS","Reactome"
"Heme degradation","ABCC1,ABCC2,ABCG2,ALB,BLVRA,BLVRB,FABP1,GSTA1,GUSB,HMOX1,HMOX2,SLCO1B1,SLCO1B3,SLCO2B1,UGT1A1,UGT1A4","Reactome"
"Heparan sulfate/heparin HS-GAG metabolism","AGRN,B3GALT6,B3GAT1,B3GAT2,B3GAT3,B4GALT7,BCAN,BGN,CSPG4,CSPG5,DCN,EXT1,EXT2,GLB1,GLB1L,GLB1L2,GLB1L3,GLCE,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,GUSB,HGSNAT,HPSE,HPSE2,HS2ST1,HS3ST1,HS3ST2,HS3ST3A1,HS3ST3B1,HS3ST4,HS3ST5,HS3ST6,HS6ST1,HS6ST2,HS6ST3,HSPG2,IDS,IDUA,NAGLU,NCAN,NDST1,NDST2,NDST3,NDST4,SDC1,SDC2,SDC3,SDC4,SGSH,SLC35D2,VCAN,XYLT1,XYLT2","Reactome"
"Histidine catabolism","AMDHD1,CARNMT1,CARNS1,FTCD,HAL,HDC,HNMT,UROC1","Reactome"
"Hyaluronan biosynthesis and export","ABCC5,CEMIP,HAS1,HAS2,HAS3","Reactome"
"Hyaluronan metabolism","ABCC5,CD44,CEMIP,CHP1,GUSB,HAS1,HAS2,HAS3,HEXA,HEXB,HMMR,HYAL1,HYAL2,HYAL3,LYVE1,SLC9A1,STAB2","Reactome"
"Hyaluronan uptake and degradation","CD44,CHP1,GUSB,HEXA,HEXB,HMMR,HYAL1,HYAL2,HYAL3,LYVE1,SLC9A1,STAB2","Reactome"
"Hydrolysis of LPC","GPCPD1,PLA2G15,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLBD1","Reactome"
"Hydrolysis of LPE","GPCPD1,PLA2G4C","Reactome"
"Hypusine synthesis from eIF5A-lysine","DHPS,DOHH,EIF5A,EIF5A2","Reactome"
"Incretin synthesis, secretion, and inactivation","CDX2,CTNNB1,DPP4,FFAR1,FFAR4,GATA4,GCG,GIP,GNAT3,GNB1,GNB3,GNG13,GPR119,GRP,ISL1,LEP,PAX6,PCSK1,SEC11A,SEC11C,SPCS1,SPCS2,SPCS3,TCF7L2","Reactome"
"Inositol phosphate metabolism","CALM1,IMPA1,IMPA2,INPP1,INPP4A,INPP4B,INPP5A,INPP5B,INPP5D,INPP5J,INPPL1,IP6K1,IP6K2,IP6K3,IPMK,IPPK,ISYNA1,ITPK1,ITPKA,ITPKB,ITPKC,MINPP1,MIOX,MTMR7,MTMR9,NUDT10,NUDT11,NUDT3,NUDT4,OCRL,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCH1,PLCH2,PLCZ1,PLD4,PPIP5K1,PPIP5K2,PTEN,SYNJ1","Reactome"
