"Gene","Cancer_type","Pathway","new"
"CARD11","READ","guanylate kinase activity","CARD11 READ"
"CARD11","PAAD","guanylate kinase activity","CARD11 PAAD"
"CARD11","SARC","guanylate kinase activity","CARD11 SARC"
"CARD11","LAML","guanylate kinase activity","CARD11 LAML"
"CARD11","HNSC","guanylate kinase activity","CARD11 HNSC"
"CARD11","DLBC","guanylate kinase activity","CARD11 DLBC"
"CARD11","COAD","guanylate kinase activity","CARD11 COAD"
"CARD11","CHOL","guanylate kinase activity","CARD11 CHOL"
"CARD11","SKCM","guanylate kinase activity","CARD11 SKCM"
"CARD11","GBM","guanylate kinase activity","CARD11 GBM"
"CARD11","LUSC","guanylate kinase activity","CARD11 LUSC"
"CARD11","UCEC","guanylate kinase activity","CARD11 UCEC"
"CARD11","UCS","guanylate kinase activity","CARD11 UCS"
"CARS1","STAD","cysteinyl-tRNA aminoacylation","CARS1 STAD"
"CARS1","SKCM","cysteinyl-tRNA aminoacylation","CARS1 SKCM"
"CARS1","READ","cysteinyl-tRNA aminoacylation","CARS1 READ"
"CARS1","BLCA","cysteinyl-tRNA aminoacylation","CARS1 BLCA"
"CARS1","LUSC","cysteinyl-tRNA aminoacylation","CARS1 LUSC"
"CARS1","UCEC","cysteinyl-tRNA aminoacylation","CARS1 UCEC"
"CARS1","CESC","cysteinyl-tRNA aminoacylation","CARS1 CESC"
"CARS1","ESCA","cysteinyl-tRNA aminoacylation","CARS1 ESCA"
"CARS1","COAD","cysteinyl-tRNA aminoacylation","CARS1 COAD"
"CARS1","PANCAN","cysteinyl-tRNA aminoacylation","CARS1 PANCAN"
"CASP3","SKCM","protein catabolic process","CASP3 SKCM"
"CASP3","UCEC","protein catabolic process","CASP3 UCEC"
"CASP8","LUSC","protein maturation","CASP8 LUSC"
"CASP8","LIHC","protein maturation","CASP8 LIHC"
"CASP8","STAD","protein maturation","CASP8 STAD"
"CASP8","PANCAN","protein maturation","CASP8 PANCAN"
"CASP8","COAD","protein maturation","CASP8 COAD"
"CASP8","UCEC","protein maturation","CASP8 UCEC"
"CASP8","BLCA","protein maturation","CASP8 BLCA"
"CASP8","PAAD","protein maturation","CASP8 PAAD"
"CASP8","SKCM","protein maturation","CASP8 SKCM"
"CASP8","HNSC","protein maturation","CASP8 HNSC"
"CASP8","READ","protein maturation","CASP8 READ"
"CASP8","CESC","protein maturation","CASP8 CESC"
"CASP8","ESCA","protein maturation","CASP8 ESCA"
"CASP8","SARC","protein maturation","CASP8 SARC"
"CASP8","BRCA","protein maturation","CASP8 BRCA"
"CASP8","UCS","protein maturation","CASP8 UCS"
"CASP9","STAD","protein maturation","CASP9 STAD"
"CASP9","LUAD","protein maturation","CASP9 LUAD"
"CASP9","SKCM","protein maturation","CASP9 SKCM"
"CASP9","UCEC","protein maturation","CASP9 UCEC"
"CASP9","BLCA","protein maturation","CASP9 BLCA"
"CAV1","PRAD","nitric oxide biosynthetic process","CAV1 PRAD"
"CAV1","KICH","nitric oxide biosynthetic process","CAV1 KICH"
"CAV1","COAD","nitric oxide biosynthetic process","CAV1 COAD"
"CAV1","THCA","nitric oxide biosynthetic process","CAV1 THCA"
"CAV1","KIRC","nitric oxide biosynthetic process","CAV1 KIRC"
"CAV1","LUAD","nitric oxide biosynthetic process","CAV1 LUAD"
"CBFA2T3","COAD","DNA-templated transcription","CBFA2T3 COAD"
"CBFA2T3","CESC","DNA-templated transcription","CBFA2T3 CESC"
"CBFA2T3","DLBC","DNA-templated transcription","CBFA2T3 DLBC"
"CBFA2T3","LUAD","DNA-templated transcription","CBFA2T3 LUAD"
"CBFA2T3","BLCA","DNA-templated transcription","CBFA2T3 BLCA"
"CBFA2T3","READ","DNA-templated transcription","CBFA2T3 READ"
"CBFA2T3","UCEC","DNA-templated transcription","CBFA2T3 UCEC"
"CBFA2T3","STAD","DNA-templated transcription","CBFA2T3 STAD"
"CBFA2T3","LUSC","DNA-templated transcription","CBFA2T3 LUSC"
"CBFA2T3","PANCAN","DNA-templated transcription","CBFA2T3 PANCAN"
"CBFA2T3","SKCM","DNA-templated transcription","CBFA2T3 SKCM"
"CBFA2T3","ESCA","DNA-templated transcription","CBFA2T3 ESCA"
"CBFB","UCEC","protein polyubiquitination","CBFB UCEC"
"CBFB","STAD","protein polyubiquitination","CBFB STAD"
"CBFB","LAML","protein polyubiquitination","CBFB LAML"
"CBFB","BRCA","protein polyubiquitination","CBFB BRCA"
"CBFB","DLBC","protein polyubiquitination","CBFB DLBC"
"CBL","HNSC","protein ubiquitination","CBL HNSC"
"CBL","CESC","protein ubiquitination","CBL CESC"
"CBL","ESCA","protein ubiquitination","CBL ESCA"
"CBL","PANCAN","protein ubiquitination","CBL PANCAN"
"CBL","LUSC","protein ubiquitination","CBL LUSC"
"CBL","UCEC","protein ubiquitination","CBL UCEC"
"CBL","BLCA","protein ubiquitination","CBL BLCA"
"CBL","UVM","protein ubiquitination","CBL UVM"
"CBL","COAD","protein ubiquitination","CBL COAD"
"CBL","LUAD","protein ubiquitination","CBL LUAD"
"CBL","SKCM","protein ubiquitination","CBL SKCM"
"CBL","STAD","protein ubiquitination","CBL STAD"
"CBL","READ","protein ubiquitination","CBL READ"
"CBLB","STAD","protein ubiquitination","CBLB STAD"
"CBLB","PAAD","protein ubiquitination","CBLB PAAD"
"CBLB","COAD","protein ubiquitination","CBLB COAD"
"CBLB","PANCAN","protein ubiquitination","CBLB PANCAN"
"CBLB","ESCA","protein ubiquitination","CBLB ESCA"
"CBLB","HNSC","protein ubiquitination","CBLB HNSC"
"CBLB","SKCM","protein ubiquitination","CBLB SKCM"
"CBLB","DLBC","protein ubiquitination","CBLB DLBC"
"CBLB","KICH","protein ubiquitination","CBLB KICH"
"CBLB","LUAD","protein ubiquitination","CBLB LUAD"
"CBLB","GBM","protein ubiquitination","CBLB GBM"
"CBLB","LUSC","protein ubiquitination","CBLB LUSC"
"CBLB","READ","protein ubiquitination","CBLB READ"
"CBLB","LIHC","protein ubiquitination","CBLB LIHC"
"CBLB","UCEC","protein ubiquitination","CBLB UCEC"
"CBLB","BRCA","protein ubiquitination","CBLB BRCA"
"CBLB","CESC","protein ubiquitination","CBLB CESC"
"CBLB","UCS","protein ubiquitination","CBLB UCS"
"CBLB","BLCA","protein ubiquitination","CBLB BLCA"
"CBLC","SARC","ubiquitin-dependent protein catabolic process","CBLC SARC"
"CBLC","THYM","ubiquitin-dependent protein catabolic process","CBLC THYM"
"CBLC","STAD","ubiquitin-dependent protein catabolic process","CBLC STAD"
"CBLC","UCEC","ubiquitin-dependent protein catabolic process","CBLC UCEC"
"CBLC","CESC","ubiquitin-dependent protein catabolic process","CBLC CESC"
"CBLC","SKCM","ubiquitin-dependent protein catabolic process","CBLC SKCM"
"CCDC88A","BLCA","DNA replication","CCDC88A BLCA"
"CCNB1IP1","SARC","chiasma assembly","CCNB1IP1 SARC"
"CCNB1IP1","UCEC","chiasma assembly","CCNB1IP1 UCEC"
"CCNB1IP1","HNSC","chiasma assembly","CCNB1IP1 HNSC"
"CCNB1IP1","COAD","chiasma assembly","CCNB1IP1 COAD"
"CCNB1IP1","STAD","chiasma assembly","CCNB1IP1 STAD"
"CCNE1","LUAD","telomere maintenance","CCNE1 LUAD"
"CCNE1","LUSC","telomere maintenance","CCNE1 LUSC"
"CCNE1","LIHC","telomere maintenance","CCNE1 LIHC"
"CCNE1","SKCM","telomere maintenance","CCNE1 SKCM"
"CCNE1","BRCA","telomere maintenance","CCNE1 BRCA"
"CCNE1","ESCA","telomere maintenance","CCNE1 ESCA"
"CCNE1","OV","telomere maintenance","CCNE1 OV"
"CCNE1","UCEC","telomere maintenance","CCNE1 UCEC"
"CCNE1","COAD","telomere maintenance","CCNE1 COAD"
"CCNE1","OS","telomere maintenance","CCNE1 OS"
"CCNE1","STAD","telomere maintenance","CCNE1 STAD"
"CD28","SKCM","transcription by RNA polymerase II","CD28 SKCM"
"CD28","COAD","transcription by RNA polymerase II","CD28 COAD"
"CD28","UCEC","transcription by RNA polymerase II","CD28 UCEC"
"CD28","LUSC","transcription by RNA polymerase II","CD28 LUSC"
"CD74","UCEC","prostaglandin biosynthetic process","CD74 UCEC"
"CD74","NSCLC","prostaglandin biosynthetic process","CD74 NSCLC"
"CD74","UCS","prostaglandin biosynthetic process","CD74 UCS"
"CD74","DLBC","prostaglandin biosynthetic process","CD74 DLBC"
"CD74","SKCM","prostaglandin biosynthetic process","CD74 SKCM"
"CDC42BPB","BLCA","protein phosphorylation","CDC42BPB BLCA"
"CDC42BPB","BRCA","protein phosphorylation","CDC42BPB BRCA"
"CDC6","CESC","DNA replication initiation","CDC6 CESC"
"CDC6","BRCA","DNA replication initiation","CDC6 BRCA"
"CDC6","LIHC","DNA replication initiation","CDC6 LIHC"
"CDC6","KIRP","DNA replication initiation","CDC6 KIRP"
"CDC6","LUAD","DNA replication initiation","CDC6 LUAD"
"CDC6","UCEC","DNA replication initiation","CDC6 UCEC"
"CDC6","LUSC","DNA replication initiation","CDC6 LUSC"
"CDC73","UCS","transcription elongation by RNA polymerase II","CDC73 UCS"
"CDC73","LAML","transcription elongation by RNA polymerase II","CDC73 LAML"
"CDC73","SKCM","transcription elongation by RNA polymerase II","CDC73 SKCM"
"CDC73","PAAD","transcription elongation by RNA polymerase II","CDC73 PAAD"
"CDC73","CESC","transcription elongation by RNA polymerase II","CDC73 CESC"
"CDC73","WT","transcription elongation by RNA polymerase II","CDC73 WT"
"CDC73","READ","transcription elongation by RNA polymerase II","CDC73 READ"
"CDC73","COAD","transcription elongation by RNA polymerase II","CDC73 COAD"
"CDC73","LUAD","transcription elongation by RNA polymerase II","CDC73 LUAD"
"CDC73","BLCA","transcription elongation by RNA polymerase II","CDC73 BLCA"
"CDC73","LUSC","transcription elongation by RNA polymerase II","CDC73 LUSC"
"CDC73","PANCAN","transcription elongation by RNA polymerase II","CDC73 PANCAN"
"CDC73","STAD","transcription elongation by RNA polymerase II","CDC73 STAD"
"CDC73","THCA","transcription elongation by RNA polymerase II","CDC73 THCA"
"CDC73","UCEC","transcription elongation by RNA polymerase II","CDC73 UCEC"
"CDK1","UCEC","protein phosphorylation","CDK1 UCEC"
"CDK1","PRAD","protein phosphorylation","CDK1 PRAD"
"CDK1","BRCA","protein phosphorylation","CDK1 BRCA"
"CDK1","LUAD","protein phosphorylation","CDK1 LUAD"
"CDK1","BLCA","protein phosphorylation","CDK1 BLCA"
"CDK1","STAD","protein phosphorylation","CDK1 STAD"
"CDK1","LIHC","protein phosphorylation","CDK1 LIHC"
"CDK12","LUAD","RNA splicing","CDK12 LUAD"
"CDK12","BRCA","RNA splicing","CDK12 BRCA"
"CDK12","BLCA","RNA splicing","CDK12 BLCA"
"CDK12","GBM","RNA splicing","CDK12 GBM"
"CDK12","UCEC","RNA splicing","CDK12 UCEC"
"CDK12","SKCM","RNA splicing","CDK12 SKCM"
"CDK12","DLBC","RNA splicing","CDK12 DLBC"
"CDK12","HNSC","RNA splicing","CDK12 HNSC"
"CDK12","COAD","RNA splicing","CDK12 COAD"
"CDK12","STAD","RNA splicing","CDK12 STAD"
"CDK12","KIRC","RNA splicing","CDK12 KIRC"
"CDK12","LUSC","RNA splicing","CDK12 LUSC"
"CDK12","READ","RNA splicing","CDK12 READ"
"CDK12","CHOL","RNA splicing","CDK12 CHOL"
"CDK12","PRAD","RNA splicing","CDK12 PRAD"
"CDK12","ESCA","RNA splicing","CDK12 ESCA"
"CDK12","OV","RNA splicing","CDK12 OV"
"CDK12","SARC","RNA splicing","CDK12 SARC"
"CDK12","CESC","RNA splicing","CDK12 CESC"
"CDK12","PANCAN","RNA splicing","CDK12 PANCAN"
"CDK13","ESCA","protein phosphorylation","CDK13 ESCA"
"CDK14","HNSC","protein phosphorylation","CDK14 HNSC"
"CDK4","CESC","protein phosphorylation","CDK4 CESC"
"CDK4","SKCM","protein phosphorylation","CDK4 SKCM"
"CDK4","UCEC","protein phosphorylation","CDK4 UCEC"
"CDK5R1","LUAD","peptidyl-threonine phosphorylation","CDK5R1 LUAD"
"CDK5R1","BRCA","peptidyl-threonine phosphorylation","CDK5R1 BRCA"
"CDK5R1","STAD","peptidyl-threonine phosphorylation","CDK5R1 STAD"
"CDK6","CESC","protein phosphorylation","CDK6 CESC"
"CDK6","KICH","protein phosphorylation","CDK6 KICH"
"CDK6","BLCA","protein phosphorylation","CDK6 BLCA"
"CDK6","COAD","protein phosphorylation","CDK6 COAD"
"CDK6","UCEC","protein phosphorylation","CDK6 UCEC"
"CDK6","STAD","protein phosphorylation","CDK6 STAD"
"CDK6","UCS","protein phosphorylation","CDK6 UCS"
"CDK6","LIHC","protein phosphorylation","CDK6 LIHC"
"CDK6","SKCM","protein phosphorylation","CDK6 SKCM"
"CDK6","LUAD","protein phosphorylation","CDK6 LUAD"
"CDKN1A","ESCA","oncogene-induced cell senescence","CDKN1A ESCA"
"CDKN1A","SARC","oncogene-induced cell senescence","CDKN1A SARC"
"CDKN1A","KICH","oncogene-induced cell senescence","CDKN1A KICH"
"CDKN1A","UCEC","oncogene-induced cell senescence","CDKN1A UCEC"
"CDKN1A","BRCA","oncogene-induced cell senescence","CDKN1A BRCA"
"CDKN1A","STAD","oncogene-induced cell senescence","CDKN1A STAD"
"CDKN1A","THCA","oncogene-induced cell senescence","CDKN1A THCA"
"CDKN1A","SKCM","oncogene-induced cell senescence","CDKN1A SKCM"
"CDKN1A","BLCA","oncogene-induced cell senescence","CDKN1A BLCA"
"CDKN1A","CESC","oncogene-induced cell senescence","CDKN1A CESC"
"CDKN1A","LIHC","oncogene-induced cell senescence","CDKN1A LIHC"
"CDKN1B","UCEC","cellular senescence","CDKN1B UCEC"
"CDKN1B","GINET","cellular senescence","CDKN1B GINET"
"CDKN1B","READ","cellular senescence","CDKN1B READ"
"CDKN1B","BLCA","cellular senescence","CDKN1B BLCA"
"CDKN1B","PRAD","cellular senescence","CDKN1B PRAD"
"CDKN1B","KICH","cellular senescence","CDKN1B KICH"
"CDKN1B","BRCA","cellular senescence","CDKN1B BRCA"
"CDKN1B","COAD","cellular senescence","CDKN1B COAD"
"CDKN2A","LIHC","replicative senescence","CDKN2A LIHC"
"CDKN2A","PSCC","replicative senescence","CDKN2A PSCC"
"CDKN2A","CESC","replicative senescence","CDKN2A CESC"
"CDKN2A","CGCI-BLGSP","replicative senescence","CDKN2A CGCI-BLGSP"
"CDKN2A","ESCA","replicative senescence","CDKN2A ESCA"
"CDKN2A","LUSC","replicative senescence","CDKN2A LUSC"
"CDKN2A","STAD","replicative senescence","CDKN2A STAD"
"CDKN2A","BLCA","replicative senescence","CDKN2A BLCA"
"CDKN2A","SKCM","replicative senescence","CDKN2A SKCM"
"CDKN2A","LUAD","replicative senescence","CDKN2A LUAD"
"CDKN2A","HNSC","replicative senescence","CDKN2A HNSC"
"CDKN2A","THYM","replicative senescence","CDKN2A THYM"
"CDKN2A","UCS","replicative senescence","CDKN2A UCS"
"CDKN2A","UCEC","replicative senescence","CDKN2A UCEC"
"CDKN2A","CHOL","replicative senescence","CDKN2A CHOL"
"CDKN2A","GBM","replicative senescence","CDKN2A GBM"
"CDKN2A","PAAD","replicative senescence","CDKN2A PAAD"
"CDKN2A","PANCAN","replicative senescence","CDKN2A PANCAN"
"CDKN3","LIHC","dephosphorylation","CDKN3 LIHC"
"CDKN3","KICH","dephosphorylation","CDKN3 KICH"
"CDKN3","LUSC","dephosphorylation","CDKN3 LUSC"
"CDKN3","LUAD","dephosphorylation","CDKN3 LUAD"
"CDKN3","KIRP","dephosphorylation","CDKN3 KIRP"
"CEBPA","LAML","generation of precursor metabolites and energy","CEBPA LAML"
"CENPF","BRCA","DNA biosynthetic process","CENPF BRCA"
"CENPF","KIRP","DNA biosynthetic process","CENPF KIRP"
"CENPF","HNSC","DNA biosynthetic process","CENPF HNSC"
"CENPF","ESCA","DNA biosynthetic process","CENPF ESCA"
"CHD2","THYM","gene expression","CHD2 THYM"
"CHD2","HNSC","gene expression","CHD2 HNSC"
"CHD2","LIHC","gene expression","CHD2 LIHC"
"CHD2","COAD","gene expression","CHD2 COAD"
"CHD2","BLCA","gene expression","CHD2 BLCA"
"CHD2","UCEC","gene expression","CHD2 UCEC"
"CHD2","UCS","gene expression","CHD2 UCS"
"CHD2","READ","gene expression","CHD2 READ"
"CHD2","OV","gene expression","CHD2 OV"
"CHD2","CHOL","gene expression","CHD2 CHOL"
"CHD2","GBM","gene expression","CHD2 GBM"
"CHD2","SKCM","gene expression","CHD2 SKCM"
"CHD2","LUAD","gene expression","CHD2 LUAD"
"CHD2","DLBC","gene expression","CHD2 DLBC"
"CHD2","STAD","gene expression","CHD2 STAD"
"CHD2","PANCAN","gene expression","CHD2 PANCAN"
"CHD2","LUSC","gene expression","CHD2 LUSC"
"CHD2","MESO","gene expression","CHD2 MESO"
"CHD2","BRCA","gene expression","CHD2 BRCA"
"CHD2","CESC","gene expression","CHD2 CESC"
"CHD4","PAAD","double-strand break repair via homologous recombination","CHD4 PAAD"
"CHD4","LUAD","double-strand break repair via homologous recombination","CHD4 LUAD"
"CHD4","DLBC","double-strand break repair via homologous recombination","CHD4 DLBC"
"CHD4","BLCA","double-strand break repair via homologous recombination","CHD4 BLCA"
"CHD4","PRAD","double-strand break repair via homologous recombination","CHD4 PRAD"
"CHD4","LUSC","double-strand break repair via homologous recombination","CHD4 LUSC"
"CHD4","THYM","double-strand break repair via homologous recombination","CHD4 THYM"
"CHD4","KIRP","double-strand break repair via homologous recombination","CHD4 KIRP"
"CHD4","ESCA","double-strand break repair via homologous recombination","CHD4 ESCA"
"CHD4","UCES","double-strand break repair via homologous recombination","CHD4 UCES"
"CHD4","UCEC","double-strand break repair via homologous recombination","CHD4 UCEC"
"CHD4","STAD","double-strand break repair via homologous recombination","CHD4 STAD"
"CHD4","WT","double-strand break repair via homologous recombination","CHD4 WT"
"CHD4","PANCAN","double-strand break repair via homologous recombination","CHD4 PANCAN"
"CHD4","BRCA","double-strand break repair via homologous recombination","CHD4 BRCA"
"CHD4","SKCM","double-strand break repair via homologous recombination","CHD4 SKCM"
"CHD4","OS","double-strand break repair via homologous recombination","CHD4 OS"
"CHD4","KIRC","double-strand break repair via homologous recombination","CHD4 KIRC"
"CHD4","READ","double-strand break repair via homologous recombination","CHD4 READ"
"CHD4","HNSC","double-strand break repair via homologous recombination","CHD4 HNSC"
"CHD4","COAD","double-strand break repair via homologous recombination","CHD4 COAD"
"CHD4","LIHC","double-strand break repair via homologous recombination","CHD4 LIHC"
"CHD4","CESC","double-strand break repair via homologous recombination","CHD4 CESC"
"CHD4","LAML","double-strand break repair via homologous recombination","CHD4 LAML"
"CHD4","KICH","double-strand break repair via homologous recombination","CHD4 KICH"
"CHD4","UCS","double-strand break repair via homologous recombination","CHD4 UCS"
"CHD4","OV","double-strand break repair via homologous recombination","CHD4 OV"
"CHD7","BRCA","rRNA processing","CHD7 BRCA"
"CHD7","UCEC","rRNA processing","CHD7 UCEC"
"CHEK2","DLBC","protein phosphorylation","CHEK2 DLBC"
"CHEK2","HNSC","protein phosphorylation","CHEK2 HNSC"
"CHEK2","LUAD","protein phosphorylation","CHEK2 LUAD"
"CHEK2","COAD","protein phosphorylation","CHEK2 COAD"
"CHEK2","PANCAN","protein phosphorylation","CHEK2 PANCAN"
"CHEK2","CESC","protein phosphorylation","CHEK2 CESC"
"CHEK2","UCS","protein phosphorylation","CHEK2 UCS"
"CHEK2","STAD","protein phosphorylation","CHEK2 STAD"
"CHEK2","THYM","protein phosphorylation","CHEK2 THYM"
"CHEK2","LUSC","protein phosphorylation","CHEK2 LUSC"
"CHEK2","UCEC","protein phosphorylation","CHEK2 UCEC"
"CHEK2","BLCA","protein phosphorylation","CHEK2 BLCA"
"CHEK2","CHOL","protein phosphorylation","CHEK2 CHOL"
"CHEK2","BRCA","protein phosphorylation","CHEK2 BRCA"
"CHEK2","PAAD","protein phosphorylation","CHEK2 PAAD"
"CHEK2","SKCM","protein phosphorylation","CHEK2 SKCM"
"CHST10","COAD","androgen metabolic process","CHST10 COAD"
"CHST11","PAAD","proteoglycan biosynthetic process","CHST11 PAAD"
"CHST11","ESCA","proteoglycan biosynthetic process","CHST11 ESCA"
"CHST11","COAD","proteoglycan biosynthetic process","CHST11 COAD"
"CHST11","DLBC","proteoglycan biosynthetic process","CHST11 DLBC"
"CHST11","LUSC","proteoglycan biosynthetic process","CHST11 LUSC"
"CHST11","SKCM","proteoglycan biosynthetic process","CHST11 SKCM"
"CHST11","UCS","proteoglycan biosynthetic process","CHST11 UCS"
"CHST11","READ","proteoglycan biosynthetic process","CHST11 READ"
"CHST11","UCEC","proteoglycan biosynthetic process","CHST11 UCEC"
"CIITA","UVM","phosphorylation","CIITA UVM"
"CIITA","GBM","phosphorylation","CIITA GBM"
"CIITA","STAD","phosphorylation","CIITA STAD"
"CIITA","CGCI-BLGSP","phosphorylation","CIITA CGCI-BLGSP"
"CIITA","PANCAN","phosphorylation","CIITA PANCAN"
"CIITA","KICH","phosphorylation","CIITA KICH"
"CIITA","LUAD","phosphorylation","CIITA LUAD"
"CIITA","HNSC","phosphorylation","CIITA HNSC"
"CIITA","DLBC","phosphorylation","CIITA DLBC"
"CIITA","UCEC","phosphorylation","CIITA UCEC"
"CIITA","READ","phosphorylation","CIITA READ"
"CIITA","BLCA","phosphorylation","CIITA BLCA"
"CIITA","CESC","phosphorylation","CIITA CESC"
"CIITA","LUSC","phosphorylation","CIITA LUSC"
"CIITA","ESCA","phosphorylation","CIITA ESCA"
"CIITA","COAD","phosphorylation","CIITA COAD"
"CIITA","SKCM","phosphorylation","CIITA SKCM"
"CLP1","STAD","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 STAD"
"CLP1","SARC","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 SARC"
"CLP1","COAD","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 COAD"
"CLP1","UCEC","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 UCEC"
"CLP1","LUAD","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 LUAD"
"CLP1","UVM","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 UVM"
"CLP1","CESC","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 CESC"
"CLP1","ESCA","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 ESCA"
"CLP1","SKCM","tRNA splicing, via endonucleolytic cleavage and ligation","CLP1 SKCM"
"CLTC","KIRP","autophagy","CLTC KIRP"
"CLTC","SKCM","autophagy","CLTC SKCM"
"CLTC","UCS","autophagy","CLTC UCS"
"CLTC","STAD","autophagy","CLTC STAD"
"CLTC","LIHC","autophagy","CLTC LIHC"
"CLTC","BLCA","autophagy","CLTC BLCA"
"CLTC","COAD","autophagy","CLTC COAD"
"CLTC","UCEC","autophagy","CLTC UCEC"
"CLTC","READ","autophagy","CLTC READ"
"CLTC","KIRC","autophagy","CLTC KIRC"
"CLTC","LUAD","autophagy","CLTC LUAD"
"CLTC","HNSC","autophagy","CLTC HNSC"
"CLTC","PAAD","autophagy","CLTC PAAD"
"CLTC","THYM","autophagy","CLTC THYM"
"CLTC","BRCA","autophagy","CLTC BRCA"
"CLTC","PANCAN","autophagy","CLTC PANCAN"
"CLTC","MESO","autophagy","CLTC MESO"
"CLTC","ESCA","autophagy","CLTC ESCA"
"CLTC","CESC","autophagy","CLTC CESC"
"CLTC","LUSC","autophagy","CLTC LUSC"
"CNBP","UCEC","G-quadruplex DNA formation","CNBP UCEC"
"CNOT1","UCEC","nuclear-transcribed mRNA poly(A) tail shortening","CNOT1 UCEC"
"CNOT3","CESC","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 CESC"
"CNOT3","BLCA","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 BLCA"
"CNOT3","KIRP","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 KIRP"
"CNOT3","COAD","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 COAD"
"CNOT3","SKCM","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 SKCM"
"CNOT3","DLBC","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 DLBC"
"CNOT3","PRAD","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 PRAD"
"CNOT3","MESO","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 MESO"
"CNOT3","LAML","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 LAML"
"CNOT3","READ","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 READ"
"CNOT3","PAAD","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 PAAD"
"CNOT3","ESCA","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 ESCA"
"CNOT3","UCEC","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 UCEC"
"CNOT3","LUAD","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 LUAD"
"CNOT3","OV","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 OV"
"CNOT3","LUSC","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 LUSC"
"CNOT3","PANCAN","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 PANCAN"
"CNOT3","STAD","nuclear-transcribed mRNA poly(A) tail shortening","CNOT3 STAD"
"CNTN1","ESCA","gene expression","CNTN1 ESCA"
"CNTN1","LUSC","gene expression","CNTN1 LUSC"
"CNTN1","BRCA","gene expression","CNTN1 BRCA"
"CNTN1","KIRP","gene expression","CNTN1 KIRP"
"COL11A1","LIHC","proteoglycan metabolic process","COL11A1 LIHC"
"COL11A1","PRAD","proteoglycan metabolic process","COL11A1 PRAD"
"COL1A1","STAD","collagen biosynthetic process","COL1A1 STAD"
"COL1A1","OS","collagen biosynthetic process","COL1A1 OS"
"COL1A1","GBM","collagen biosynthetic process","COL1A1 GBM"
"COL1A1","LUSC","collagen biosynthetic process","COL1A1 LUSC"
"COL1A1","BLCA","collagen biosynthetic process","COL1A1 BLCA"
"COL1A1","PANCAN","collagen biosynthetic process","COL1A1 PANCAN"
"COL1A1","HNSC","collagen biosynthetic process","COL1A1 HNSC"
"COL1A1","COAD","collagen biosynthetic process","COL1A1 COAD"
"COL1A1","CESC","collagen biosynthetic process","COL1A1 CESC"
"COL1A1","LUAD","collagen biosynthetic process","COL1A1 LUAD"
"COL1A1","NBL","collagen biosynthetic process","COL1A1 NBL"
"COL1A1","OV","collagen biosynthetic process","COL1A1 OV"
"COL1A1","SKCM","collagen biosynthetic process","COL1A1 SKCM"
"COL1A1","LIHC","collagen biosynthetic process","COL1A1 LIHC"
"COL1A1","BRCA","collagen biosynthetic process","COL1A1 BRCA"
"COL1A1","PAAD","collagen biosynthetic process","COL1A1 PAAD"
"COL1A1","DLBC","collagen biosynthetic process","COL1A1 DLBC"
"COL1A1","KICH","collagen biosynthetic process","COL1A1 KICH"
"COL1A1","SKCA","collagen biosynthetic process","COL1A1 SKCA"
"COL1A1","SARC","collagen biosynthetic process","COL1A1 SARC"
"COL1A1","READ","collagen biosynthetic process","COL1A1 READ"
"COL1A1","UCEC","collagen biosynthetic process","COL1A1 UCEC"
"COL1A2","LIHC","collagen metabolic process","COL1A2 LIHC"
"COL1A2","HNSC","collagen metabolic process","COL1A2 HNSC"
"COL1A2","BLCA","collagen metabolic process","COL1A2 BLCA"
"COL1A2","UCEC","collagen metabolic process","COL1A2 UCEC"
"COL1A2","BRCA","collagen metabolic process","COL1A2 BRCA"
"COL2A1","UCEC","proteoglycan metabolic process","COL2A1 UCEC"
"COL2A1","UVM","proteoglycan metabolic process","COL2A1 UVM"
"COL2A1","SKCM","proteoglycan metabolic process","COL2A1 SKCM"
"COL2A1","STAD","proteoglycan metabolic process","COL2A1 STAD"
