"Gene","Pathway","Cancer_type","new"
"BRCA1","SUMOylation of DNA damage response and repair proteins","PANCAN","BRCA1 PANCAN"
"BRCA1","SUMOylation of DNA damage response and repair proteins","KIRP","BRCA1 KIRP"
"BRCA1","SUMOylation of DNA damage response and repair proteins","CESC","BRCA1 CESC"
"BRCA1","SUMOylation of DNA damage response and repair proteins","READ","BRCA1 READ"
"BRCA1","SUMOylation of DNA damage response and repair proteins","OV","BRCA1 OV"
"BRCA1","SUMOylation of DNA damage response and repair proteins","COAD","BRCA1 COAD"
"BRCA1","SUMOylation of DNA damage response and repair proteins","DLBC","BRCA1 DLBC"
"BRCA1","SUMOylation of DNA damage response and repair proteins","HNSC","BRCA1 HNSC"
"BRCA1","SUMOylation of DNA damage response and repair proteins","GBM","BRCA1 GBM"
"BRCA1","SUMOylation of DNA damage response and repair proteins","STAD","BRCA1 STAD"
"BRCA1","SUMOylation of DNA damage response and repair proteins","SKCM","BRCA1 SKCM"
"BRCA1","SUMOylation of DNA damage response and repair proteins","LUSC","BRCA1 LUSC"
"BRIP1","Cytosolic iron-sulfur cluster assembly","STAD","BRIP1 STAD"
"BRIP1","Cytosolic iron-sulfur cluster assembly","CESC","BRIP1 CESC"
"BRIP1","Cytosolic iron-sulfur cluster assembly","LUAD","BRIP1 LUAD"
"BRIP1","Cytosolic iron-sulfur cluster assembly","SKCM","BRIP1 SKCM"
"BRIP1","Cytosolic iron-sulfur cluster assembly","UCEC","BRIP1 UCEC"
"BRIP1","Cytosolic iron-sulfur cluster assembly","HNSC","BRIP1 HNSC"
"BRIP1","Cytosolic iron-sulfur cluster assembly","DLBC","BRIP1 DLBC"
"BRIP1","Cytosolic iron-sulfur cluster assembly","COAD","BRIP1 COAD"
"BRIP1","Cytosolic iron-sulfur cluster assembly","MESO","BRIP1 MESO"
"BRIP1","Cytosolic iron-sulfur cluster assembly","BRCA","BRIP1 BRCA"
"BRIP1","Cytosolic iron-sulfur cluster assembly","BLCA","BRIP1 BLCA"
"BRIP1","Cytosolic iron-sulfur cluster assembly","LAML","BRIP1 LAML"
"BRIP1","Cytosolic iron-sulfur cluster assembly","READ","BRIP1 READ"
"BRIP1","Cytosolic iron-sulfur cluster assembly","PANCAN","BRIP1 PANCAN"
"BRIP1","Cytosolic iron-sulfur cluster assembly","LUSC","BRIP1 LUSC"
"BRIP1","Cytosolic iron-sulfur cluster assembly","UCS","BRIP1 UCS"
"BRIP1","Cytosolic iron-sulfur cluster assembly","ESCA","BRIP1 ESCA"
"C3","Metabolism of proteins","LIHC","C3 LIHC"
"C3","Metabolism of proteins","UCEC","C3 UCEC"
"C3","Metabolism of proteins","BLCA","C3 BLCA"
"C3","Metabolism of proteins","HNSC","C3 HNSC"
"C3","Metabolism of proteins","LUAD","C3 LUAD"
"CACNA1A","Integration of energy metabolism","KIRP","CACNA1A KIRP"
"CACNA1A","Integration of energy metabolism","PRAD","CACNA1A PRAD"
"CACNA1C","Adrenaline,noradrenaline inhibits insulin secretion","HNSC","CACNA1C HNSC"
"CACNA1D","Adrenaline,noradrenaline inhibits insulin secretion","LUAD","CACNA1D LUAD"
"CACNA1E","Integration of energy metabolism","PRAD","CACNA1E PRAD"
"CACNA1E","Integration of energy metabolism","LIHC","CACNA1E LIHC"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","DLBC","CALR DLBC"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","LUSC","CALR LUSC"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","LIHC","CALR LIHC"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","LAML","CALR LAML"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","COAD","CALR COAD"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","UCEC","CALR UCEC"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","UCS","CALR UCS"
"CALR","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","CESC","CALR CESC"
"CARS1","tRNA Aminoacylation","ESCA","CARS1 ESCA"
"CARS1","tRNA Aminoacylation","LUSC","CARS1 LUSC"
"CARS1","tRNA Aminoacylation","SKCM","CARS1 SKCM"
"CARS1","tRNA Aminoacylation","READ","CARS1 READ"
"CARS1","tRNA Aminoacylation","PANCAN","CARS1 PANCAN"
"CARS1","tRNA Aminoacylation","COAD","CARS1 COAD"
"CARS1","tRNA Aminoacylation","CESC","CARS1 CESC"
"CARS1","tRNA Aminoacylation","UCEC","CARS1 UCEC"
"CARS1","tRNA Aminoacylation","STAD","CARS1 STAD"
"CARS1","tRNA Aminoacylation","BLCA","CARS1 BLCA"
"CAV1","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","THCA","CAV1 THCA"
"CAV1","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","KIRC","CAV1 KIRC"
"CAV1","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","PRAD","CAV1 PRAD"
"CAV1","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","KICH","CAV1 KICH"
"CAV1","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","LUAD","CAV1 LUAD"
"CAV1","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","COAD","CAV1 COAD"
"CBX8","Metabolism of proteins","BRCA","CBX8 BRCA"
"CCNC","Metabolism of lipids","DLBC","CCNC DLBC"
"CCNC","Metabolism of lipids","UCEC","CCNC UCEC"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","LUAD","CCNE1 LUAD"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","STAD","CCNE1 STAD"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","OV","CCNE1 OV"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","UCEC","CCNE1 UCEC"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","ESCA","CCNE1 ESCA"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","BRCA","CCNE1 BRCA"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","OS","CCNE1 OS"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","LUSC","CCNE1 LUSC"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","LIHC","CCNE1 LIHC"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","COAD","CCNE1 COAD"
"CCNE1","Association of TriC/CCT with target proteins during biosynthesis","SKCM","CCNE1 SKCM"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","PANCAN","CDC73 PANCAN"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","UCS","CDC73 UCS"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","STAD","CDC73 STAD"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","LAML","CDC73 LAML"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","THCA","CDC73 THCA"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","LUAD","CDC73 LUAD"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","SKCM","CDC73 SKCM"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","PAAD","CDC73 PAAD"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","UCEC","CDC73 UCEC"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","WT","CDC73 WT"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","BLCA","CDC73 BLCA"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","READ","CDC73 READ"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","CESC","CDC73 CESC"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","LUSC","CDC73 LUSC"
"CDC73","E3 ubiquitin ligases ubiquitinate target proteins","COAD","CDC73 COAD"
"CDH2","Post-translational protein phosphorylation","HNSC","CDH2 HNSC"
"CDK1","Metabolism of proteins","PRAD","CDK1 PRAD"
"CDK1","Metabolism of proteins","STAD","CDK1 STAD"
"CDK1","Metabolism of proteins","UCEC","CDK1 UCEC"
"CDK1","Metabolism of proteins","BLCA","CDK1 BLCA"
"CDK1","Metabolism of proteins","BRCA","CDK1 BRCA"
"CDK1","Metabolism of proteins","LUAD","CDK1 LUAD"
"CDK1","Metabolism of proteins","LIHC","CDK1 LIHC"
"CDKN1A","Metabolism of proteins","BRCA","CDKN1A BRCA"
"CDKN1A","Metabolism of proteins","SARC","CDKN1A SARC"
"CDKN1A","Metabolism of proteins","ESCA","CDKN1A ESCA"
"CDKN1A","Metabolism of proteins","THCA","CDKN1A THCA"
"CDKN1A","Metabolism of proteins","BLCA","CDKN1A BLCA"
"CDKN1A","Metabolism of proteins","CESC","CDKN1A CESC"
"CDKN1A","Metabolism of proteins","LIHC","CDKN1A LIHC"
"CDKN1A","Metabolism of proteins","UCEC","CDKN1A UCEC"
"CDKN1A","Metabolism of proteins","SKCM","CDKN1A SKCM"
"CDKN1A","Metabolism of proteins","KICH","CDKN1A KICH"
"CDKN1A","Metabolism of proteins","STAD","CDKN1A STAD"
"CDKN2A","SUMOylation of transcription factors","LUSC","CDKN2A LUSC"
"CDKN2A","SUMOylation of transcription factors","PANCAN","CDKN2A PANCAN"
"CDKN2A","SUMOylation of transcription factors","BLCA","CDKN2A BLCA"
"CDKN2A","SUMOylation of transcription factors","CGCI-BLGSP","CDKN2A CGCI-BLGSP"
"CDKN2A","SUMOylation of transcription factors","PAAD","CDKN2A PAAD"
"CDKN2A","SUMOylation of transcription factors","LIHC","CDKN2A LIHC"
"CDKN2A","SUMOylation of transcription factors","UCS","CDKN2A UCS"
"CDKN2A","SUMOylation of transcription factors","HNSC","CDKN2A HNSC"
"CDKN2A","SUMOylation of transcription factors","CESC","CDKN2A CESC"
"CDKN2A","SUMOylation of transcription factors","CHOL","CDKN2A CHOL"
"CDKN2A","SUMOylation of transcription factors","THYM","CDKN2A THYM"
"CDKN2A","SUMOylation of transcription factors","ESCA","CDKN2A ESCA"
"CDKN2A","SUMOylation of transcription factors","UCEC","CDKN2A UCEC"
"CDKN2A","SUMOylation of transcription factors","PSCC","CDKN2A PSCC"
"CDKN2A","SUMOylation of transcription factors","GBM","CDKN2A GBM"
"CDKN2A","SUMOylation of transcription factors","LUAD","CDKN2A LUAD"
"CDKN2A","SUMOylation of transcription factors","STAD","CDKN2A STAD"
"CDKN2A","SUMOylation of transcription factors","SKCM","CDKN2A SKCM"
"CDX2","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","UCEC","CDX2 UCEC"
"CDX2","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","COAD","CDX2 COAD"
"CDX2","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","UCS","CDX2 UCS"
"CDX2","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","SKCM","CDX2 SKCM"
"CDX2","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","LUSC","CDX2 LUSC"
"CHD9","Metabolism of steroids","LIHC","CHD9 LIHC"
"CHD9","Metabolism of steroids","HNSC","CHD9 HNSC"
"CHST10","Asparagine N-linked glycosylation","COAD","CHST10 COAD"
"CHST11","Chondroitin sulfate biosynthesis","READ","CHST11 READ"
"CHST11","Chondroitin sulfate biosynthesis","ESCA","CHST11 ESCA"
"CHST11","Chondroitin sulfate biosynthesis","UCS","CHST11 UCS"
"CHST11","Chondroitin sulfate biosynthesis","COAD","CHST11 COAD"
"CHST11","Chondroitin sulfate biosynthesis","SKCM","CHST11 SKCM"
"CHST11","Chondroitin sulfate biosynthesis","UCEC","CHST11 UCEC"
"CHST11","Chondroitin sulfate biosynthesis","PAAD","CHST11 PAAD"
"CHST11","Chondroitin sulfate biosynthesis","LUSC","CHST11 LUSC"
"CHST11","Chondroitin sulfate biosynthesis","DLBC","CHST11 DLBC"
"CNTN5","Post-translational protein modification","KIRP","CNTN5 KIRP"
"COL7A1","Asparagine N-linked glycosylation","LIHC","COL7A1 LIHC"
"COX6C","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","UCEC","COX6C UCEC"
"COX6C","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","CHOL","COX6C CHOL"
"CPS1","Metabolism","BRCA","CPS1 BRCA"
"CPS1","Metabolism","COAD","CPS1 COAD"
"CPS1","Metabolism","UCEC","CPS1 UCEC"
"CPS1","Metabolism","LIHC","CPS1 LIHC"
"CREBBP","Metabolism of steroids","SKCM","CREBBP SKCM"
"CREBBP","Metabolism of steroids","UCEC","CREBBP UCEC"
"CREBBP","Metabolism of steroids","HNSC","CREBBP HNSC"
"CREBBP","Metabolism of steroids","UCS","CREBBP UCS"
"CREBBP","Metabolism of steroids","ESCA","CREBBP ESCA"
"CREBBP","Metabolism of steroids","WT","CREBBP WT"
"CREBBP","Metabolism of steroids","OV","CREBBP OV"
"CREBBP","Metabolism of steroids","LIHC","CREBBP LIHC"
"CREBBP","Metabolism of steroids","KIRP","CREBBP KIRP"
"CREBBP","Metabolism of steroids","READ","CREBBP READ"
"CREBBP","Metabolism of steroids","MESO","CREBBP MESO"
"CREBBP","Metabolism of steroids","SACA","CREBBP SACA"
"CREBBP","Metabolism of steroids","PANCAN","CREBBP PANCAN"
"CREBBP","Metabolism of steroids","CGCI-BLGSP","CREBBP CGCI-BLGSP"
"CREBBP","Metabolism of steroids","NHL","CREBBP NHL"
"CREBBP","Metabolism of steroids","COAD","CREBBP COAD"
"CREBBP","Metabolism of steroids","PRAD","CREBBP PRAD"
"CREBBP","Metabolism of steroids","LAML","CREBBP LAML"
"CREBBP","Metabolism of steroids","GBM","CREBBP GBM"
"CREBBP","Metabolism of steroids","STAD","CREBBP STAD"
"CREBBP","Metabolism of steroids","CESC","CREBBP CESC"
"CREBBP","Metabolism of steroids","DLBC","CREBBP DLBC"
"CREBBP","Metabolism of steroids","LUSC","CREBBP LUSC"
"CREBBP","Metabolism of steroids","LUAD","CREBBP LUAD"
"CREBBP","Metabolism of steroids","BLCA","CREBBP BLCA"
"CREBBP","Metabolism of steroids","BRCA","CREBBP BRCA"
"CREBBP","Metabolism of steroids","PAAD","CREBBP PAAD"
"CROT","Beta-oxidation of pristanoyl-CoA","COAD","CROT COAD"
"CSF1","Metabolism of proteins","BRCA","CSF1 BRCA"
"CSF1","Metabolism of proteins","LUAD","CSF1 LUAD"
"CSPG4","CS/DS degradation","BLCA","CSPG4 BLCA"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","HNSC","CTNNB1 HNSC"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","LIHC","CTNNB1 LIHC"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","LIHB","CTNNB1 LIHB"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","WT","CTNNB1 WT"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","KICH","CTNNB1 KICH"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","UCEC","CTNNB1 UCEC"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","COAD","CTNNB1 COAD"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","ESCA","CTNNB1 ESCA"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","SKCM","CTNNB1 SKCM"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","BLCA","CTNNB1 BLCA"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","READ","CTNNB1 READ"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","MESO","CTNNB1 MESO"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","PANCAN","CTNNB1 PANCAN"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","CESC","CTNNB1 CESC"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","LUAD","CTNNB1 LUAD"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","KIRP","CTNNB1 KIRP"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","PAAD","CTNNB1 PAAD"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","SARC","CTNNB1 SARC"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","PRAD","CTNNB1 PRAD"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","THYM","CTNNB1 THYM"
"CTNNB1","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","STAD","CTNNB1 STAD"
"CUBN","Metabolism of vitamins and cofactors","LUAD","CUBN LUAD"
"CUBN","Metabolism of vitamins and cofactors","KIRP","CUBN KIRP"
"CUBN","Metabolism of vitamins and cofactors","PRAD","CUBN PRAD"
"CUL3","Neddylation","CESC","CUL3 CESC"
"CUL3","Neddylation","LUSC","CUL3 LUSC"
"CUL3","Neddylation","ESCA","CUL3 ESCA"
"CUL3","Neddylation","KIRC","CUL3 KIRC"
"CUL3","Neddylation","HNSC","CUL3 HNSC"
"CUL3","Neddylation","PANCAN","CUL3 PANCAN"
"CUL3","Neddylation","STAD","CUL3 STAD"
"CUL3","Neddylation","UCEC","CUL3 UCEC"
"CUL3","Neddylation","BLCA","CUL3 BLCA"
"CUL3","Neddylation","COAD","CUL3 COAD"
"CUL3","Neddylation","KIRP","CUL3 KIRP"
"CUL3","Neddylation","SKCM","CUL3 SKCM"
"CUL3","Neddylation","BRCA","CUL3 BRCA"
"CUL3","Neddylation","LUAD","CUL3 LUAD"
"CYGB","Metabolism","BRCA","CYGB BRCA"
"CYGB","Metabolism","KIRC","CYGB KIRC"
"CYGB","Metabolism","BLCA","CYGB BLCA"
"CYLD","Ub-specific processing proteases","LUAD","CYLD LUAD"
"CYLD","Ub-specific processing proteases","HNSC","CYLD HNSC"
"CYLD","Ub-specific processing proteases","LUSC","CYLD LUSC"
"CYLD","Ub-specific processing proteases","ESCA","CYLD ESCA"
"CYLD","Ub-specific processing proteases","GBM","CYLD GBM"
"CYLD","Ub-specific processing proteases","DLBC","CYLD DLBC"
"CYLD","Ub-specific processing proteases","CESC","CYLD CESC"
"CYLD","Ub-specific processing proteases","UVM","CYLD UVM"
"CYLD","Ub-specific processing proteases","READ","CYLD READ"
"CYLD","Ub-specific processing proteases","UCEC","CYLD UCEC"
"CYLD","Ub-specific processing proteases","LAML","CYLD LAML"
"CYLD","Ub-specific processing proteases","PAAD","CYLD PAAD"
"CYLD","Ub-specific processing proteases","SKCM","CYLD SKCM"
"CYLD","Ub-specific processing proteases","THYM","CYLD THYM"
"CYLD","Ub-specific processing proteases","STAD","CYLD STAD"
"CYLD","Ub-specific processing proteases","PANCAN","CYLD PANCAN"
"CYLD","Ub-specific processing proteases","COAD","CYLD COAD"
"CYP2C8","Biosynthesis of maresin-like SPMs","READ","CYP2C8 READ"
"CYP2C8","Biosynthesis of maresin-like SPMs","PANCAN","CYP2C8 PANCAN"
"CYP2C8","Biosynthesis of maresin-like SPMs","LIHC","CYP2C8 LIHC"
"CYP2C8","Biosynthesis of maresin-like SPMs","LUSC","CYP2C8 LUSC"
"CYP2C8","Biosynthesis of maresin-like SPMs","DLBC","CYP2C8 DLBC"
"CYP2C8","Biosynthesis of maresin-like SPMs","SARC","CYP2C8 SARC"
"CYP2C8","Biosynthesis of maresin-like SPMs","COAD","CYP2C8 COAD"
"CYP2C8","Biosynthesis of maresin-like SPMs","UCEC","CYP2C8 UCEC"
"CYP2C8","Biosynthesis of maresin-like SPMs","SKCM","CYP2C8 SKCM"
"CYP2C8","Biosynthesis of maresin-like SPMs","BLCA","CYP2C8 BLCA"
"DAXX","SUMOylation of transcription cofactors","COAD","DAXX COAD"
"DAXX","SUMOylation of transcription cofactors","SKCM","DAXX SKCM"
"DAXX","SUMOylation of transcription cofactors","BLCA","DAXX BLCA"
"DAXX","SUMOylation of transcription cofactors","PBCA","DAXX PBCA"
"DAXX","SUMOylation of transcription cofactors","STAD","DAXX STAD"
"DAXX","SUMOylation of transcription cofactors","PAAD","DAXX PAAD"
"DAXX","SUMOylation of transcription cofactors","UCEC","DAXX UCEC"
"DAXX","SUMOylation of transcription cofactors","READ","DAXX READ"
"DAXX","SUMOylation of transcription cofactors","HNSC","DAXX HNSC"
"DAXX","SUMOylation of transcription cofactors","GBM","DAXX GBM"
"DAXX","SUMOylation of transcription cofactors","KIRC","DAXX KIRC"
"DAXX","SUMOylation of transcription cofactors","CHOL","DAXX CHOL"
"DAXX","SUMOylation of transcription cofactors","PANCAN","DAXX PANCAN"
"DAXX","SUMOylation of transcription cofactors","LUSC","DAXX LUSC"
"DAXX","SUMOylation of transcription cofactors","CESC","DAXX CESC"
"DAXX","SUMOylation of transcription cofactors","ESCA","DAXX ESCA"
"DAXX","SUMOylation of transcription cofactors","LUAD","DAXX LUAD"
"DCTN1","COPI-mediated anterograde transport","STAD","DCTN1 STAD"
"DCTN1","COPI-mediated anterograde transport","UCS","DCTN1 UCS"
"DCTN1","COPI-mediated anterograde transport","SKCM","DCTN1 SKCM"
"DCTN1","COPI-mediated anterograde transport","PANCAN","DCTN1 PANCAN"
"DCTN1","COPI-mediated anterograde transport","BLCA","DCTN1 BLCA"
"DCTN1","COPI-mediated anterograde transport","LAML","DCTN1 LAML"
"DCTN1","COPI-mediated anterograde transport","UVM","DCTN1 UVM"
"DCTN1","COPI-mediated anterograde transport","PAAD","DCTN1 PAAD"
"DCTN1","COPI-mediated anterograde transport","ESCA","DCTN1 ESCA"
"DCTN1","COPI-mediated anterograde transport","LUAD","DCTN1 LUAD"
"DCTN1","COPI-mediated anterograde transport","HNSC","DCTN1 HNSC"
"DCTN1","COPI-mediated anterograde transport","LUSC","DCTN1 LUSC"
"DCTN1","COPI-mediated anterograde transport","READ","DCTN1 READ"
"DCTN1","COPI-mediated anterograde transport","CHOL","DCTN1 CHOL"
"DCTN1","COPI-mediated anterograde transport","NBL","DCTN1 NBL"
"DCTN1","COPI-mediated anterograde transport","COAD","DCTN1 COAD"
"DCTN1","COPI-mediated anterograde transport","OS","DCTN1 OS"
"DCTN1","COPI-mediated anterograde transport","GBM","DCTN1 GBM"
"DCTN1","COPI-mediated anterograde transport","SARC","DCTN1 SARC"
"DCTN1","COPI-mediated anterograde transport","KIRC","DCTN1 KIRC"
"DCTN1","COPI-mediated anterograde transport","OV","DCTN1 OV"
"DCTN1","COPI-mediated anterograde transport","CESC","DCTN1 CESC"
"DCTN1","COPI-mediated anterograde transport","UCEC","DCTN1 UCEC"
"DCTN1","COPI-mediated anterograde transport","MESO","DCTN1 MESO"
"DDB2","Metabolism of proteins","BCC","DDB2 BCC"
"DDB2","Metabolism of proteins","UCEC","DDB2 UCEC"
"DDB2","Metabolism of proteins","READ","DDB2 READ"
"DDB2","Metabolism of proteins","LAML","DDB2 LAML"
"DDB2","Metabolism of proteins","CHOL","DDB2 CHOL"
"DDB2","Metabolism of proteins","CESC","DDB2 CESC"
"DDB2","Metabolism of proteins","SKCM","DDB2 SKCM"
"DDB2","Metabolism of proteins","BLCA","DDB2 BLCA"
"DDX5","SUMOylation of transcription cofactors","COAD","DDX5 COAD"
"DDX5","SUMOylation of transcription cofactors","BLCA","DDX5 BLCA"
"DDX5","SUMOylation of transcription cofactors","KIRP","DDX5 KIRP"
"DDX5","SUMOylation of transcription cofactors","SKCM","DDX5 SKCM"
"DDX5","SUMOylation of transcription cofactors","THYM","DDX5 THYM"
"DDX5","SUMOylation of transcription cofactors","PANCAN","DDX5 PANCAN"
"DDX5","SUMOylation of transcription cofactors","ESCA","DDX5 ESCA"
"DDX5","SUMOylation of transcription cofactors","UCEC","DDX5 UCEC"
"DDX5","SUMOylation of transcription cofactors","OV","DDX5 OV"
"DDX5","SUMOylation of transcription cofactors","CESC","DDX5 CESC"
"DDX5","SUMOylation of transcription cofactors","KIRC","DDX5 KIRC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","UCEC","DNM2 UCEC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","LAML","DNM2 LAML"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","SKCM","DNM2 SKCM"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","CHOL","DNM2 CHOL"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","ESCA","DNM2 ESCA"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","SARC","DNM2 SARC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","PANCAN","DNM2 PANCAN"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","CESC","DNM2 CESC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","BLCA","DNM2 BLCA"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","UCS","DNM2 UCS"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","HNSC","DNM2 HNSC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","GBM","DNM2 GBM"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","READ","DNM2 READ"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","LUSC","DNM2 LUSC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","OV","DNM2 OV"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","LIHC","DNM2 LIHC"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","OS","DNM2 OS"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","STAD","DNM2 STAD"
"DNM2","Metabolism of nitric oxide: NOS3 activation and regulation","COAD","DNM2 COAD"
"DNMT1","SUMOylation","KIRC","DNMT1 KIRC"
"DNMT3A","Metabolism of proteins","DLBC","DNMT3A DLBC"
"DNMT3A","Metabolism of proteins","SARC","DNMT3A SARC"
"DNMT3A","Metabolism of proteins","SKCM","DNMT3A SKCM"
"DNMT3A","Metabolism of proteins","HNSC","DNMT3A HNSC"
"DNMT3A","Metabolism of proteins","MESO","DNMT3A MESO"
"DNMT3A","Metabolism of proteins","STAD","DNMT3A STAD"
"DNMT3A","Metabolism of proteins","BLCA","DNMT3A BLCA"
"DNMT3A","Metabolism of proteins","OV","DNMT3A OV"
"DNMT3A","Metabolism of proteins","UCEC","DNMT3A UCEC"
"DNMT3A","Metabolism of proteins","LIHC","DNMT3A LIHC"
"DNMT3A","Metabolism of proteins","COAD","DNMT3A COAD"
"DNMT3A","Metabolism of proteins","ESCA","DNMT3A ESCA"
"DNMT3A","Metabolism of proteins","LUAD","DNMT3A LUAD"
"DNMT3A","Metabolism of proteins","LGG","DNMT3A LGG"
"DNMT3A","Metabolism of proteins","KIRC","DNMT3A KIRC"
"DNMT3A","Metabolism of proteins","PANCAN","DNMT3A PANCAN"
"DNMT3A","Metabolism of proteins","KIRP","DNMT3A KIRP"
"DNMT3A","Metabolism of proteins","PAAD","DNMT3A PAAD"
"DNMT3A","Metabolism of proteins","LUSC","DNMT3A LUSC"
"DNMT3A","Metabolism of proteins","CESC","DNMT3A CESC"
"DNMT3A","Metabolism of proteins","LAML","DNMT3A LAML"
"DNMT3A","Metabolism of proteins","READ","DNMT3A READ"
