"","CancerType","Pathway","Gene"
"1787","UVM","Oxidative phosphorylation","ATP6V0C"
"1788","UVM","Oxidative phosphorylation","ATP6V0B"
"1789","UVM","Oxidative phosphorylation","ATP6V0D1"
"1790","UVM","Oxidative phosphorylation","ATP6V0D2"
"1791","UVM","Oxidative phosphorylation","ATP6V0E1"
"1792","UVM","Oxidative phosphorylation","ATP6V0E2"
"1793","CLLSLL","Oxidative phosphorylation","ATP6V1E2"
"1794","CLLSLL","Oxidative phosphorylation","ATP6V1E1"
"1795","CLLSLL","Oxidative phosphorylation","ATP6V1F"
"1796","CLLSLL","Oxidative phosphorylation","ATP6V1FP2"
"1797","KICH","Oxidative phosphorylation","NDUFC2-KCTD14"
"1798","KICH","Oxidative phosphorylation","SDHA"
"1799","KICH","Oxidative phosphorylation","SDHB"
"1800","KICH","Oxidative phosphorylation","SDHC"
"1801","CLLSLL","Oxidative phosphorylation","ATP6V0A2"
"1802","CLLSLL","Oxidative phosphorylation","ATP6V0A4"
"1803","CLLSLL","Oxidative phosphorylation","ATP6V0A1"
"1804","KICH","Oxidative phosphorylation","CYC1"
"1805","KICH","Oxidative phosphorylation","UQCRC1"
"1806","KICH","Oxidative phosphorylation","UQCRC2"
"1807","KICH","Oxidative phosphorylation","UQCRH"
"1808","KICH","Oxidative phosphorylation","UQCRHL"
"1809","KICH","Oxidative phosphorylation","UQCRB"
"1810","KICH","Oxidative phosphorylation","UQCRQ"
"1811","KICH","Oxidative phosphorylation","UQCR10"
"1812","KICH","Oxidative phosphorylation","UQCR11"
"1813","KICH","Oxidative phosphorylation","COX10"
"1814","KICH","Oxidative phosphorylation","COX3"
"1815","KICH","Oxidative phosphorylation","COX1"
"1816","KICH","Oxidative phosphorylation","COX2"
"1817","KICH","Oxidative phosphorylation","COX4I2"
"1818","KICH","Oxidative phosphorylation","COX4I1"
"1819","KICH","Oxidative phosphorylation","COX5A"
"1820","KICH","Oxidative phosphorylation","COX5B"
"1821","KICH","Oxidative phosphorylation","COX6A1"
"1822","KICH","Oxidative phosphorylation","COX6A2"
"1823","PCM","Oxidative phosphorylation","UQCRC2"
"1824","PCM","Oxidative phosphorylation","UQCRH"
"1825","PCM","Oxidative phosphorylation","UQCRHL"
"1826","KICH","Oxidative phosphorylation","COX7A1"
"1827","KICH","Oxidative phosphorylation","COX7A2"
"1828","KICH","Oxidative phosphorylation","COX7A2L"
"1829","MESO","Oxidative phosphorylation","ATP5MC1"
"1830","MESO","Oxidative phosphorylation","ATP5MC2"
"1831","KICH","Oxidative phosphorylation","COX7C"
"1832","KICH","Oxidative phosphorylation","COX8C"
"1833","KICH","Oxidative phosphorylation","COX8A"
"1834","KICH","Oxidative phosphorylation","COX11"
"1835","KICH","Oxidative phosphorylation","COX15"
"1836","KICH","Oxidative phosphorylation","COX17"
"1837","KICH","Oxidative phosphorylation","CYCS"
"1838","KICH","Oxidative phosphorylation","ATP5F1A"
"1839","KICH","Oxidative phosphorylation","ATP5F1B"
"1840","KIRP","Oxidative phosphorylation","NDUFB9"
"1841","KIRP","Oxidative phosphorylation","NDUFB10"
"1842","KIRP","Oxidative phosphorylation","NDUFB11"
"1843","KIRP","Oxidative phosphorylation","NDUFC1"
"1844","KIRP","Oxidative phosphorylation","NDUFC2"
"1845","KIRP","Oxidative phosphorylation","NDUFC2-KCTD14"
"1846","PAAD","Oxidative phosphorylation","ND1"
"1847","KICH","Oxidative phosphorylation","ATP5MC2"
"1848","KICH","Oxidative phosphorylation","ATP5MC3"
"1849","KICH","Oxidative phosphorylation","ATP5PD"
"1850","KICH","Oxidative phosphorylation","ATP5ME"
"1851","KICH","Oxidative phosphorylation","ATP5MF"
"1852","KICH","Oxidative phosphorylation","ATP5MG"
"1853","KICH","Oxidative phosphorylation","ATP5MGL"
"1854","SCLC","Oxidative phosphorylation","UQCRC1"
"1855","SCLC","Oxidative phosphorylation","UQCRC2"
"1856","SCLC","Oxidative phosphorylation","UQCRH"
"1857","SCLC","Oxidative phosphorylation","UQCRHL"
"1858","SCLC","Oxidative phosphorylation","UQCRB"
"1859","SCLC","Oxidative phosphorylation","UQCRQ"
"1860","SCLC","Oxidative phosphorylation","UQCR10"
"1861","SCLC","Oxidative phosphorylation","UQCR11"
"1862","SCLC","Oxidative phosphorylation","COX10"
"1863","SCLC","Oxidative phosphorylation","COX3"
"1864","KICH","Oxidative phosphorylation","ATP6V1F"
"1865","KICH","Oxidative phosphorylation","ATP6V1FP2"
"1866","KICH","Oxidative phosphorylation","ATP6V1G1"
"1867","KICH","Oxidative phosphorylation","ATP6V1G3"
"1868","KICH","Oxidative phosphorylation","ATP6V1G2"
"1869","KIRP","Oxidative phosphorylation","COX6A1"
"1870","KIRP","Oxidative phosphorylation","COX6A2"
"1871","KICH","Oxidative phosphorylation","ATP6V0A2"
"1872","KICH","Oxidative phosphorylation","ATP6V0A4"
"1873","KICH","Oxidative phosphorylation","ATP6V0A1"
"1874","KICH","Oxidative phosphorylation","ATP6V0C"
"1875","KIRP","Oxidative phosphorylation","COX7A2"
"1876","KIRP","Oxidative phosphorylation","COX7A2L"
"1877","KIRP","Oxidative phosphorylation","COX7B"
"1878","KIRP","Oxidative phosphorylation","COX7B2"
"1879","NSCLC","Oxidative phosphorylation","NDUFV1"
"1880","NSCLC","Oxidative phosphorylation","NDUFV2"
"1881","NSCLC","Oxidative phosphorylation","NDUFV3"
"1882","KIRP","Oxidative phosphorylation","COX11"
"1883","KIRP","Oxidative phosphorylation","COX15"
"1884","KIRP","Oxidative phosphorylation","COX17"
"1885","KIRP","Oxidative phosphorylation","CYCS"
"1886","KIRP","Oxidative phosphorylation","ATP5F1A"
"1887","KIRP","Oxidative phosphorylation","ATP5F1B"
"1888","KIRP","Oxidative phosphorylation","ATP5F1C"
"1889","KIRP","Oxidative phosphorylation","ATP5F1D"
"1890","KIRP","Oxidative phosphorylation","ATP5F1E"
"1891","KIRP","Oxidative phosphorylation","ATP5PO"
"1892","KIRP","Oxidative phosphorylation","ATP6"
"1893","KIRP","Oxidative phosphorylation","ATP5PB"
"1894","KIRP","Oxidative phosphorylation","ATP5MC1"
"1895","MBL","Oxidative phosphorylation","ND2"
"1896","MBL","Oxidative phosphorylation","ND3"
"1897","MBL","Oxidative phosphorylation","ND4"
"1898","MBL","Oxidative phosphorylation","ND4L"
"1899","MBL","Oxidative phosphorylation","ND5"
"1900","MBL","Oxidative phosphorylation","ND6"
"1901","MBL","Oxidative phosphorylation","NDUFS1"
"1902","MBL","Oxidative phosphorylation","NDUFS2"
"1903","OS","Oxidative phosphorylation","NDUFA11"
"1904","OS","Oxidative phosphorylation","NDUFA12"
"1905","OS","Oxidative phosphorylation","NDUFA13"
"1906","OS","Oxidative phosphorylation","NDUFB1"
"1907","OS","Oxidative phosphorylation","NDUFB2"
"1908","OS","Oxidative phosphorylation","NDUFB3"
"1909","OS","Oxidative phosphorylation","NDUFB4"
"1910","OS","Oxidative phosphorylation","NDUFB5"
"1911","OS","Oxidative phosphorylation","NDUFB6"
"1912","OS","Oxidative phosphorylation","NDUFB7"
"1913","OS","Oxidative phosphorylation","NDUFB8"
"1914","OS","Oxidative phosphorylation","NDUFB9"
"1915","HNSC","Oxidative phosphorylation","ND1"
"1916","PAAD","Oxidative phosphorylation","COX6A1"
"1917","PAAD","Oxidative phosphorylation","COX6A2"
"1918","PAAD","Oxidative phosphorylation","COX6B1"
"1919","PAAD","Oxidative phosphorylation","COX6B2"
"1920","PAAD","Oxidative phosphorylation","COX6C"
"1921","PAAD","Oxidative phosphorylation","COX7A1"
"1922","PAAD","Oxidative phosphorylation","COX7A2"
"1923","VULVA","Oxidative phosphorylation","ND2"
"1924","VULVA","Oxidative phosphorylation","ND3"
"1925","VULVA","Oxidative phosphorylation","ND4"
"1926","RCC","Oxidative phosphorylation","COX7A2L"
"1927","RCC","Oxidative phosphorylation","COX7B"
"1928","RCC","Oxidative phosphorylation","COX7B2"
"1929","RCC","Oxidative phosphorylation","COX7C"
"1930","RCC","Oxidative phosphorylation","COX8C"
"1931","RCC","Oxidative phosphorylation","COX8A"
"1932","RCC","Oxidative phosphorylation","COX11"
"1933","RCC","Oxidative phosphorylation","COX15"
"1934","RCC","Oxidative phosphorylation","COX17"
"1935","RCC","Oxidative phosphorylation","CYCS"
"1936","RCC","Oxidative phosphorylation","ATP5F1A"
"1937","RCC","Oxidative phosphorylation","ATP5F1B"
"1938","RCC","Oxidative phosphorylation","ATP5F1C"
"1939","VULVA","Oxidative phosphorylation","NDUFV3"
"1940","VULVA","Oxidative phosphorylation","NDUFA1"
"1941","VULVA","Oxidative phosphorylation","NDUFA2"
"1942","VULVA","Oxidative phosphorylation","NDUFA3"
"1943","VULVA","Oxidative phosphorylation","NDUFA4"
"1944","VULVA","Oxidative phosphorylation","NDUFA4L2"
"1945","VULVA","Oxidative phosphorylation","NDUFA5"
"1946","PAST","Oxidative phosphorylation","ND1"
"1947","PAST","Oxidative phosphorylation","ND2"
"1948","PAST","Oxidative phosphorylation","ND3"
"1949","PAST","Oxidative phosphorylation","ND4"
"1950","PAST","Oxidative phosphorylation","ND4L"
"1951","PAST","Oxidative phosphorylation","ND5"
"1952","PAST","Oxidative phosphorylation","ND6"
"1953","PAST","Oxidative phosphorylation","NDUFS1"
"1954","PAST","Oxidative phosphorylation","NDUFS2"
"1955","PAST","Oxidative phosphorylation","NDUFS3"
"1956","PAST","Oxidative phosphorylation","NDUFS4"
"1957","PAST","Oxidative phosphorylation","NDUFS5"
"1958","PAST","Oxidative phosphorylation","NDUFS6"
"1959","PAST","Oxidative phosphorylation","NDUFS7"
"1960","PAST","Oxidative phosphorylation","NDUFS8"
"1961","PAST","Oxidative phosphorylation","NDUFV1"
"1962","PAST","Oxidative phosphorylation","NDUFV2"
"1963","PAST","Oxidative phosphorylation","NDUFV3"
"1964","PAST","Oxidative phosphorylation","NDUFA1"
"1965","PAST","Oxidative phosphorylation","NDUFA2"
"1966","PAST","Oxidative phosphorylation","NDUFA3"
"1967","PAST","Oxidative phosphorylation","NDUFA4"
"1968","PAST","Oxidative phosphorylation","NDUFA4L2"
"1969","PAST","Oxidative phosphorylation","NDUFA5"
"1970","PAST","Oxidative phosphorylation","NDUFA6"
"1971","PAST","Oxidative phosphorylation","NDUFA7"
"1972","PAST","Oxidative phosphorylation","NDUFA8"
"1973","PAST","Oxidative phosphorylation","NDUFA9"
"1974","PAST","Oxidative phosphorylation","NDUFA10"
"1975","PAST","Oxidative phosphorylation","NDUFAB1"
"1976","PAST","Oxidative phosphorylation","NDUFA11"
"1977","PAST","Oxidative phosphorylation","NDUFA12"
"1978","PAST","Oxidative phosphorylation","NDUFA13"
"1979","PAST","Oxidative phosphorylation","NDUFB1"
"1980","PAST","Oxidative phosphorylation","NDUFB2"
"1981","PAST","Oxidative phosphorylation","NDUFB3"
"1982","PAST","Oxidative phosphorylation","NDUFB4"
"1983","PAST","Oxidative phosphorylation","NDUFB5"
"1984","CGCI-BLGSP","Oxidative phosphorylation","NDUFA2"
"1985","CGCI-BLGSP","Oxidative phosphorylation","NDUFA3"
"1986","CGCI-BLGSP","Oxidative phosphorylation","NDUFA4"
"1987","PAST","Oxidative phosphorylation","NDUFB9"
"1988","PAST","Oxidative phosphorylation","NDUFB10"
"1989","PAST","Oxidative phosphorylation","NDUFB11"
"1990","PAST","Oxidative phosphorylation","NDUFC1"
"1991","PAST","Oxidative phosphorylation","NDUFC2"
"1992","PAST","Oxidative phosphorylation","NDUFC2-KCTD14"
"1993","PAST","Oxidative phosphorylation","SDHA"
"1994","PAST","Oxidative phosphorylation","SDHB"
"1995","PAST","Oxidative phosphorylation","SDHC"
"1996","PAST","Oxidative phosphorylation","SDHD"
"1997","PAST","Oxidative phosphorylation","UQCRFS1"
"1998","PAST","Oxidative phosphorylation","CYTB"
"1999","PAST","Oxidative phosphorylation","CYC1"
"2000","PAST","Oxidative phosphorylation","UQCRC1"
"2001","PAST","Oxidative phosphorylation","UQCRC2"
"2002","PAST","Oxidative phosphorylation","UQCRH"
"2003","PAST","Oxidative phosphorylation","UQCRHL"
"2004","PAST","Oxidative phosphorylation","UQCRB"
"2005","PAST","Oxidative phosphorylation","UQCRQ"
"2006","PAST","Oxidative phosphorylation","UQCR10"
"2007","PAST","Oxidative phosphorylation","UQCR11"
"2008","PAST","Oxidative phosphorylation","COX10"
"2009","PAST","Oxidative phosphorylation","COX3"
"2010","PAST","Oxidative phosphorylation","COX1"
"2011","PAST","Oxidative phosphorylation","COX2"
"2012","PAST","Oxidative phosphorylation","COX4I2"
"2013","LGG","Oxidative phosphorylation","ND1"
"2014","LGG","Oxidative phosphorylation","ND2"
"2015","LGG","Oxidative phosphorylation","ND3"
"2016","LGG","Oxidative phosphorylation","ND4"
"2017","LGG","Oxidative phosphorylation","ND4L"
"2018","LGG","Oxidative phosphorylation","ND5"
"2019","LGG","Oxidative phosphorylation","ND6"
"2020","LGG","Oxidative phosphorylation","NDUFS1"
"2021","LGG","Oxidative phosphorylation","NDUFS2"
"2022","LGG","Oxidative phosphorylation","NDUFS3"
"2023","LGG","Oxidative phosphorylation","NDUFS4"
"2024","LGG","Oxidative phosphorylation","NDUFS5"
"2025","LGG","Oxidative phosphorylation","NDUFS6"
"2026","LGG","Oxidative phosphorylation","NDUFS7"
"2027","LGG","Oxidative phosphorylation","NDUFS8"
"2028","LGG","Oxidative phosphorylation","NDUFV1"
"2029","LGG","Oxidative phosphorylation","NDUFV2"
"2030","LGG","Oxidative phosphorylation","NDUFV3"
"2031","BRCA","Oxidative phosphorylation","ATP6"
"2032","BRCA","Oxidative phosphorylation","ATP5PB"
"2033","BRCA","Oxidative phosphorylation","ATP5MC1"
"2034","BRCA","Oxidative phosphorylation","ATP5MC2"
"2035","LGG","Oxidative phosphorylation","NDUFA4L2"
"2036","LGG","Oxidative phosphorylation","NDUFA5"
"2037","LGG","Oxidative phosphorylation","NDUFA6"
"2038","LGG","Oxidative phosphorylation","NDUFA7"
"2039","LGG","Oxidative phosphorylation","NDUFA8"
"2040","LGG","Oxidative phosphorylation","NDUFA9"
"2041","LGG","Oxidative phosphorylation","NDUFA10"
"2042","LGG","Oxidative phosphorylation","NDUFAB1"
"2043","LGG","Oxidative phosphorylation","NDUFA11"
"2044","LGG","Oxidative phosphorylation","NDUFA12"
"2045","LGG","Oxidative phosphorylation","NDUFA13"
"2046","LGG","Oxidative phosphorylation","NDUFB1"
"2047","LGG","Oxidative phosphorylation","NDUFB2"
"2048","LGG","Oxidative phosphorylation","NDUFB3"
"2049","LGG","Oxidative phosphorylation","NDUFB4"
"2050","LGG","Oxidative phosphorylation","NDUFB5"
"2051","LGG","Oxidative phosphorylation","NDUFB6"
"2052","LGG","Oxidative phosphorylation","NDUFB7"
"2053","LGG","Oxidative phosphorylation","NDUFB8"
"2054","LGG","Oxidative phosphorylation","NDUFB9"
"2055","LGG","Oxidative phosphorylation","NDUFB10"
"2056","LGG","Oxidative phosphorylation","NDUFB11"
"2057","LGG","Oxidative phosphorylation","NDUFC1"
"2058","BRCA","Oxidative phosphorylation","TCIRG1"
"2059","BRCA","Oxidative phosphorylation","ATP6V0A2"
"2060","BRCA","Oxidative phosphorylation","ATP6V0A4"
"2061","BRCA","Oxidative phosphorylation","ATP6V0A1"
"2062","LAML","Oxidative phosphorylation","UQCRHL"
"2063","LAML","Oxidative phosphorylation","UQCRB"
"2064","LAML","Oxidative phosphorylation","UQCRQ"
"2065","LAML","Oxidative phosphorylation","UQCR10"
"2066","LAML","Oxidative phosphorylation","UQCR11"
"2067","LAML","Oxidative phosphorylation","COX10"
"2068","LAML","Oxidative phosphorylation","COX3"
"2069","KIRC","Oxidative phosphorylation","ATP6V1E1"
"2070","KIRC","Oxidative phosphorylation","ATP6V1F"
"2071","KIRC","Oxidative phosphorylation","ATP6V1FP2"
"2072","KIRC","Oxidative phosphorylation","ATP6V1G1"
"2073","KIRC","Oxidative phosphorylation","ATP6V1G3"
"2074","KIRC","Oxidative phosphorylation","ATP6V1G2"
"2075","KIRC","Oxidative phosphorylation","ATP6V1H"
"2076","KIRC","Oxidative phosphorylation","TCIRG1"
"2077","ACYC","Oxidative phosphorylation","NDUFC2"
"2078","ACYC","Oxidative phosphorylation","NDUFC2-KCTD14"
"2079","ACYC","Oxidative phosphorylation","SDHA"
"2080","ACYC","Oxidative phosphorylation","SDHB"
"2081","LAML","Oxidative phosphorylation","COX7A2"
"2082","LAML","Oxidative phosphorylation","COX7A2L"
"2083","LAML","Oxidative phosphorylation","COX7B"
"2084","KIRC","Oxidative phosphorylation","ATP6V0E1"
"2085","KIRC","Oxidative phosphorylation","ATP6V0E2"
"2086","KIRC","Oxidative phosphorylation","ATP6AP1"
"2087","KIRC","Oxidative phosphorylation","ATP4A"
"2088","KIRC","Oxidative phosphorylation","ATP4B"
"2089","KIRC","Oxidative phosphorylation","ATP12A"
"2090","KIRC","Oxidative phosphorylation","PPA2"
"2091","KIRC","Oxidative phosphorylation","PPA1"
"2092","KIRC","Oxidative phosphorylation","LHPP"
"2093","ACYC","Oxidative phosphorylation","UQCRQ"
"2094","ACYC","Oxidative phosphorylation","UQCR10"
"2095","ACYC","Oxidative phosphorylation","UQCR11"
"2096","ACYC","Oxidative phosphorylation","COX10"
"2097","ACYC","Oxidative phosphorylation","COX3"
"2098","ACYC","Oxidative phosphorylation","COX1"
"2099","ACYC","Oxidative phosphorylation","COX2"
"2100","ACYC","Oxidative phosphorylation","COX4I2"
"2101","LNM","Oxidative phosphorylation","NDUFS8"
"2102","GBM","Oxidative phosphorylation","COX8A"
"2103","GBM","Oxidative phosphorylation","COX11"
"2104","GBM","Oxidative phosphorylation","COX15"
"2105","GBM","Oxidative phosphorylation","COX17"
"2106","GBM","Oxidative phosphorylation","CYCS"
"2107","GBM","Oxidative phosphorylation","ATP5F1A"
"2108","GBM","Oxidative phosphorylation","ATP5F1B"
"2109","GBM","Oxidative phosphorylation","ATP5F1C"
"2110","GBM","Oxidative phosphorylation","ATP5F1D"
"2111","ACYC","Oxidative phosphorylation","COX7A2L"
"2112","ACYC","Oxidative phosphorylation","COX7B"
"2113","ACYC","Oxidative phosphorylation","COX7B2"
"2114","PANCAN","Oxidative phosphorylation","COX10"
"2115","PANCAN","Oxidative phosphorylation","COX3"
"2116","PANCAN","Oxidative phosphorylation","COX1"
"2117","MESO","Oxidative phosphorylation","NDUFV3"
"2118","MESO","Oxidative phosphorylation","NDUFA1"
"2119","MESO","Oxidative phosphorylation","NDUFA2"
"2120","MESO","Oxidative phosphorylation","NDUFA3"
"2121","MESO","Oxidative phosphorylation","NDUFA4"
"2122","MESO","Oxidative phosphorylation","NDUFA4L2"
"2123","MESO","Oxidative phosphorylation","NDUFA5"
"2124","MESO","Oxidative phosphorylation","NDUFA6"
"2125","LGG","Oxidative phosphorylation","ATP6V1E1"
"2126","LGG","Oxidative phosphorylation","ATP6V1F"
"2127","LGG","Oxidative phosphorylation","ATP6V1FP2"
"2128","LGG","Oxidative phosphorylation","ATP6V1G1"
"2129","LGG","Oxidative phosphorylation","ATP6V1G3"
"2130","LGG","Oxidative phosphorylation","ATP6V1G2"
"2131","LGG","Oxidative phosphorylation","ATP6V1H"
"2132","PCM","Oxidative phosphorylation","ND1"
"2133","PCM","Oxidative phosphorylation","ND2"
"2134","PCM","Oxidative phosphorylation","ND3"
"2135","PCM","Oxidative phosphorylation","ND4"
"2136","PCM","Oxidative phosphorylation","ND4L"
"2137","PCM","Oxidative phosphorylation","ND5"
"2138","PCM","Oxidative phosphorylation","ND6"
"2139","PCM","Oxidative phosphorylation","NDUFS1"
"2140","PCM","Oxidative phosphorylation","NDUFS2"
"2141","PCM","Oxidative phosphorylation","NDUFS3"
"2142","PCM","Oxidative phosphorylation","NDUFS4"
"2143","PCM","Oxidative phosphorylation","NDUFS5"
"2144","PCM","Oxidative phosphorylation","NDUFS6"
"2145","LGG","Oxidative phosphorylation","ATP12A"
"2146","LGG","Oxidative phosphorylation","PPA2"
"2147","LGG","Oxidative phosphorylation","PPA1"
"2148","LGG","Oxidative phosphorylation","LHPP"
"2149","PCM","Oxidative phosphorylation","NDUFV3"
"2150","PCM","Oxidative phosphorylation","NDUFA1"
"2151","PCM","Oxidative phosphorylation","NDUFA2"
"2152","PCM","Oxidative phosphorylation","NDUFA3"
"2153","PCM","Oxidative phosphorylation","NDUFA4"
"2154","PCM","Oxidative phosphorylation","NDUFA4L2"
"2155","PCM","Oxidative phosphorylation","NDUFA5"
"2156","PCM","Oxidative phosphorylation","NDUFA6"
"2157","PCM","Oxidative phosphorylation","NDUFA7"
"2158","PCM","Oxidative phosphorylation","NDUFA8"
"2159","PCM","Oxidative phosphorylation","NDUFA9"
"2160","PCM","Oxidative phosphorylation","NDUFA10"
"2161","CLLSLL","Oxidative phosphorylation","ATP6V1G1"
"2162","CLLSLL","Oxidative phosphorylation","ATP6V1G3"
"2163","CLLSLL","Oxidative phosphorylation","ATP6V1G2"
"2164","PCM","Oxidative phosphorylation","NDUFA13"
"2165","KICH","Oxidative phosphorylation","SDHD"
"2166","KICH","Oxidative phosphorylation","UQCRFS1"
"2167","KICH","Oxidative phosphorylation","CYTB"
"2168","PCM","Oxidative phosphorylation","NDUFB4"
"2169","PCM","Oxidative phosphorylation","NDUFB5"
"2170","PCM","Oxidative phosphorylation","NDUFB6"
"2171","PCM","Oxidative phosphorylation","NDUFB7"
"2172","PCM","Oxidative phosphorylation","NDUFB8"
"2173","PCM","Oxidative phosphorylation","NDUFB9"
"2174","PCM","Oxidative phosphorylation","NDUFB10"
"2175","CLLSLL","Oxidative phosphorylation","ATP6AP1"
"2176","CLLSLL","Oxidative phosphorylation","ATP4A"
"2177","CLLSLL","Oxidative phosphorylation","ATP4B"
"2178","CLLSLL","Oxidative phosphorylation","ATP12A"
"2179","CLLSLL","Oxidative phosphorylation","PPA2"
"2180","CLLSLL","Oxidative phosphorylation","PPA1"
"2181","CLLSLL","Oxidative phosphorylation","LHPP"
"2182","PANCAN","Oxidative phosphorylation","ATP4B"
"2183","PANCAN","Oxidative phosphorylation","ATP12A"
"2184","PANCAN","Oxidative phosphorylation","PPA2"
"2185","PANCAN","Oxidative phosphorylation","PPA1"
"2186","PANCAN","Oxidative phosphorylation","LHPP"
"2187","KIRP","Oxidative phosphorylation","NDUFA5"
"2188","KIRP","Oxidative phosphorylation","NDUFA6"
"2189","KIRP","Oxidative phosphorylation","NDUFA7"
"2190","PCM","Oxidative phosphorylation","UQCRB"
"2191","PCM","Oxidative phosphorylation","UQCRQ"
"2192","PCM","Oxidative phosphorylation","UQCR10"
"2193","KICH","Oxidative phosphorylation","COX7B"
"2194","KICH","Oxidative phosphorylation","COX7B2"
"2195","PCM","Oxidative phosphorylation","COX3"
"2196","PCM","Oxidative phosphorylation","COX1"
"2197","PCM","Oxidative phosphorylation","COX2"
"2198","PCM","Oxidative phosphorylation","COX4I2"
"2199","PCM","Oxidative phosphorylation","COX4I1"
"2200","PCM","Oxidative phosphorylation","COX5A"
"2201","PCM","Oxidative phosphorylation","COX5B"
"2202","PCM","Oxidative phosphorylation","COX6A1"
"2203","CESC","Oxidative phosphorylation","UQCRB"
"2204","CESC","Oxidative phosphorylation","UQCRQ"
"2205","CESC","Oxidative phosphorylation","UQCR10"
"2206","CESC","Oxidative phosphorylation","UQCR11"
"2207","CESC","Oxidative phosphorylation","COX10"
"2208","CESC","Oxidative phosphorylation","COX3"
"2209","CESC","Oxidative phosphorylation","COX1"
"2210","CESC","Oxidative phosphorylation","COX2"
"2211","PAAD","Oxidative phosphorylation","ND2"
"2212","PAAD","Oxidative phosphorylation","ND3"
"2213","PAAD","Oxidative phosphorylation","ND4"
"2214","PAAD","Oxidative phosphorylation","ND4L"
"2215","PAAD","Oxidative phosphorylation","ND5"
"2216","PAAD","Oxidative phosphorylation","ND6"
"2217","PAAD","Oxidative phosphorylation","NDUFS1"
"2218","KICH","Oxidative phosphorylation","ATP5PF"
"2219","KICH","Oxidative phosphorylation","ATP8"
"2220","KICH","Oxidative phosphorylation","ATP6V1A"
"2221","KICH","Oxidative phosphorylation","ATP6V1B1"
"2222","KICH","Oxidative phosphorylation","ATP6V1B2"
"2223","KICH","Oxidative phosphorylation","ATP6V1C2"
"2224","KICH","Oxidative phosphorylation","ATP6V1C1"
"2225","KICH","Oxidative phosphorylation","ATP6V1D"
"2226","KICH","Oxidative phosphorylation","ATP6V1E2"
"2227","KICH","Oxidative phosphorylation","ATP6V1E1"
"2228","KIRP","Oxidative phosphorylation","COX2"
"2229","KIRP","Oxidative phosphorylation","COX4I2"
"2230","KIRP","Oxidative phosphorylation","COX4I1"
"2231","KIRP","Oxidative phosphorylation","COX5A"
"2232","KIRP","Oxidative phosphorylation","COX5B"
"2233","CESC","Oxidative phosphorylation","ATP5F1B"
"2234","CESC","Oxidative phosphorylation","ATP5F1C"
"2235","KIRP","Oxidative phosphorylation","COX6B1"
"2236","KIRP","Oxidative phosphorylation","COX6B2"
"2237","KIRP","Oxidative phosphorylation","COX6C"
"2238","KIRP","Oxidative phosphorylation","COX7A1"
"2239","CESC","Oxidative phosphorylation","ATP5PB"
"2240","CESC","Oxidative phosphorylation","ATP5MC1"
"2241","CESC","Oxidative phosphorylation","ATP5MC2"
"2242","CESC","Oxidative phosphorylation","ATP5MC3"
"2243","KIRP","Oxidative phosphorylation","COX7C"
"2244","KIRP","Oxidative phosphorylation","COX8C"
"2245","KIRP","Oxidative phosphorylation","COX8A"
"2246","KICH","Oxidative phosphorylation","ATP4A"
"2247","KICH","Oxidative phosphorylation","ATP4B"
"2248","KICH","Oxidative phosphorylation","ATP12A"
"2249","KICH","Oxidative phosphorylation","PPA2"
"2250","KICH","Oxidative phosphorylation","PPA1"
"2251","KICH","Oxidative phosphorylation","LHPP"
"2252","CESC","Oxidative phosphorylation","ATP6V1C2"
"2253","CESC","Oxidative phosphorylation","ATP6V1C1"
"2254","CESC","Oxidative phosphorylation","ATP6V1D"
"2255","CESC","Oxidative phosphorylation","ATP6V1E2"
"2256","CESC","Oxidative phosphorylation","ATP6V1E1"
"2257","CESC","Oxidative phosphorylation","ATP6V1F"
"2258","CESC","Oxidative phosphorylation","ATP6V1FP2"
"2259","CESC","Oxidative phosphorylation","ATP6V1G1"
"2260","CESC","Oxidative phosphorylation","ATP6V1G3"
"2261","CESC","Oxidative phosphorylation","ATP6V1G2"
"2262","CESC","Oxidative phosphorylation","ATP6V1H"
"2263","CESC","Oxidative phosphorylation","TCIRG1"
"2264","CESC","Oxidative phosphorylation","ATP6V0A2"
"2265","CESC","Oxidative phosphorylation","ATP6V0A4"
"2266","CESC","Oxidative phosphorylation","ATP6V0A1"
"2267","CESC","Oxidative phosphorylation","ATP6V0C"
"2268","CESC","Oxidative phosphorylation","ATP6V0B"
"2269","CESC","Oxidative phosphorylation","ATP6V0D1"
"2270","CESC","Oxidative phosphorylation","ATP6V0D2"
"2271","CESC","Oxidative phosphorylation","ATP6V0E1"
"2272","CESC","Oxidative phosphorylation","ATP6V0E2"
"2273","CESC","Oxidative phosphorylation","ATP6AP1"
"2274","CESC","Oxidative phosphorylation","ATP4A"
"2275","CESC","Oxidative phosphorylation","ATP4B"
"2276","CESC","Oxidative phosphorylation","ATP12A"
"2277","CESC","Oxidative phosphorylation","PPA2"
"2278","CESC","Oxidative phosphorylation","PPA1"
"2279","CESC","Oxidative phosphorylation","LHPP"
"2280","HNSC","Oxidative phosphorylation","ND2"
"2281","HNSC","Oxidative phosphorylation","ND3"
"2282","HNSC","Oxidative phosphorylation","ND4"
"2283","RCC","Oxidative phosphorylation","COX6A1"
"2284","RCC","Oxidative phosphorylation","COX6A2"
"2285","RCC","Oxidative phosphorylation","COX6B1"
"2286","VULVA","Oxidative phosphorylation","ND1"
